chr	gene_id	gene_symbol	P-value	Zscore	Direction	regulation	heterogeneity_I_squared	heterogeneity_Chi_squared	heterogeneity_degrees_of_freedom_squared	heterogeneity_P-value
2	ENSG00000007001	UPP2	0.544	0.607	+-	Not differentially expressed	0.0	0.795	1	0.3727
15	ENSG00000041357	PSMA4	0.07816	-1.761	--	Not differentially expressed	0.0	0.194	1	0.66
18	ENSG00000166377	ATP9B	0.1038	-1.627	-+	Not differentially expressed	80.9	5.237	1	0.02211
16	ENSG00000102871	TRADD	0.4025	-0.837	-+	Not differentially expressed	39.5	1.652	1	0.1987
3	ENSG00000170364	SETMAR	0.5121	0.656	++	Not differentially expressed	0.0	0.063	1	0.8015
7	ENSG00000196937	FAM3C	0.009235	-2.603	--	Not differentially expressed	0.0	0.039	1	0.8435
12	ENSG00000166987	MBD6	0.4451	0.764	-+	Not differentially expressed	74.9	3.982	1	0.046
9	ENSG00000242111	TOPORSLP	0.3148	-1.005	--	Not differentially expressed	0.0	0.002	1	0.9646
21	ENSG00000242220	TCP10L	0.9843	0.02	-+	Not differentially expressed	0.0	0.606	1	0.4363
11	ENSG00000255350	MTCO1P15	0.3644	0.907	-+	Not differentially expressed	0.0	0.917	1	0.3383
1	ENSG00000237842	AL157713.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
22	ENSG00000100099	HPS4	0.2035	1.272	++	Not differentially expressed	0.0	0.568	1	0.4511
X	ENSG00000169093	ASMTL	0.0007742	-3.362	--	Not differentially expressed	49.2	1.968	1	0.1607
2	ENSG00000144021	CIAO1	0.4866	0.696	+-	Not differentially expressed	86.1	7.186	1	0.007348
1	ENSG00000186086	NBPF6	0.5166	-0.649	-0	Not differentially expressed	0.0	0.626	1	0.4289
22	ENSG00000100167	SEPT3	0.09677	-1.661	+-	Not differentially expressed	55.5	2.247	1	0.1339
15	ENSG00000237289	CKMT1B	0.002168	-3.066	--	Not differentially expressed	0.0	0.291	1	0.5897
1	ENSG00000189409	MMP23B	0.1892	-1.313	-+	Not differentially expressed	83.8	6.155	1	0.01311
11	ENSG00000182359	KBTBD3	0.3553	-0.924	--	Not differentially expressed	0.0	0.438	1	0.5081
19	ENSG00000188171	ZNF626	0.5079	-0.662	+-	Not differentially expressed	0.0	0.685	1	0.4078
12	ENSG00000139433	GLTP	0.04012	2.052	-+	Not differentially expressed	87.3	7.845	1	0.005097
11	ENSG00000135387	CAPRIN1	0.999	-0.001	+-	Not differentially expressed	75.0	4.002	1	0.04544
8	ENSG00000255000	AC139103.1	0.9301	0.088	-+	Not differentially expressed	0.0	0.156	1	0.6931
15	ENSG00000104177	MYEF2	0.004551	-2.837	--	Not differentially expressed	0.0	0.299	1	0.5844
15	ENSG00000281347	NF1P9	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
14	ENSG00000259374	NDUFB4P11	0.5287	-0.63	-+	Not differentially expressed	92.9	14.112	1	0.0001722
X	ENSG00000102104	RS1	0.0109	-2.546	--	Not differentially expressed	0.0	0.129	1	0.7194
19	ENSG00000237118	CYP2F2P	0.03156	-2.15	--	Not differentially expressed	82.0	5.56	1	0.01837
9	ENSG00000270166	AL390838.2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
2	ENSG00000187231	SESTD1	0.3676	-0.901	--	Not differentially expressed	0.0	0.234	1	0.6288
1	ENSG00000162636	FAM102B	0.008929	-2.615	--	Not differentially expressed	0.0	0.624	1	0.4297
X	ENSG00000101972	STAG2	0.0002913	3.623	++	Not differentially expressed	0.0	0.371	1	0.5424
6	ENSG00000231301	RPL13AP	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
11	ENSG00000213785	AKR1B1P3	0.3089	1.018	++	Not differentially expressed	0.0	0.62	1	0.4312
7	ENSG00000183742	MACC1	0.9813	0.023	-+	Not differentially expressed	44.9	1.814	1	0.178
16	ENSG00000166592	RRAD	1.235e-07	5.288	++	Upregulated in AD	87.8	8.194	1	0.004203
5	ENSG00000279983	AC244517.10	0.9595	0.051	+0	Not differentially expressed	0.0	0.004	1	0.9506
20	ENSG00000282870	FRG1DP	0.8096	0.241	+-	Not differentially expressed	0.0	0.748	1	0.3872
22	ENSG00000283145	AP000550.3	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
X	ENSG00000101850	GPR143	0.3478	0.939	++	Not differentially expressed	0.0	0.295	1	0.5869
11	ENSG00000213592	PPIAP42	0.8835	-0.146	-+	Not differentially expressed	0.0	0.359	1	0.5491
18	ENSG00000101654	RNMT	3.672e-06	-4.629	--	Not differentially expressed	76.6	4.267	1	0.03886
2	ENSG00000163792	TCF23	0.9101	0.113	-+	Not differentially expressed	77.4	4.429	1	0.03533
16	ENSG00000176476	SGF29	0.5188	0.645	-+	Not differentially expressed	74.3	3.897	1	0.04838
4	ENSG00000169116	PARM1	0.003332	-2.935	--	Not differentially expressed	0.0	0.001	1	0.9776
6	ENSG00000277043	EEF1A1P42	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
2	ENSG00000163251	FZD5	0.09515	1.669	++	Not differentially expressed	0.0	0.059	1	0.8073
20	ENSG00000197296	FITM2	0.2727	1.097	+-	Not differentially expressed	75.6	4.102	1	0.04283
14	ENSG00000133985	TTC9	0.1031	-1.63	+-	Not differentially expressed	65.6	2.908	1	0.08814
14	ENSG00000211825	TRDJ1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
4	ENSG00000250425	OR7E35P	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
5	ENSG00000250114	AC008723.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
11	ENSG00000043039	BARX2	0.4091	0.826	-+	Not differentially expressed	0.0	0.907	1	0.341
1	ENSG00000142675	CNKSR1	0.8035	0.249	-+	Not differentially expressed	83.4	6.032	1	0.01405
17	ENSG00000169733	RFNG	0.8971	-0.129	-+	Not differentially expressed	83.4	6.021	1	0.01414
11	ENSG00000167992	VWCE	0.453	0.75	++	Not differentially expressed	0.0	0.131	1	0.717
Y	ENSG00000184895	SRY	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
14	ENSG00000151748	SAV1	0.2897	1.059	-+	Not differentially expressed	53.5	2.152	1	0.1424
X	ENSG00000123130	ACOT9	0.01509	2.43	++	Not differentially expressed	69.8	3.313	1	0.06875
3	ENSG00000136603	SKIL	0.787	0.27	+-	Not differentially expressed	58.2	2.392	1	0.1219
8	ENSG00000248585	AC084024.2	0.5836	-0.548	--	Not differentially expressed	0.0	0.033	1	0.8564
4	ENSG00000138744	NAAA	0.9968	-0.004	-+	Not differentially expressed	0.0	0.002	1	0.9629
1	ENSG00000272031	ANKRD34A	0.02374	-2.261	--	Not differentially expressed	0.0	0.883	1	0.3474
18	ENSG00000079101	CLUL1	0.005832	-2.757	--	Not differentially expressed	90.3	10.287	1	0.00134
4	ENSG00000168491	CCDC110	0.2818	-1.076	--	Not differentially expressed	0.0	0.562	1	0.4536
10	ENSG00000148483	TMEM236	0.4581	0.742	-+	Not differentially expressed	0.0	0.998	1	0.3179
3	ENSG00000179564	LSMEM2	0.7933	0.262	-+	Not differentially expressed	30.6	1.44	1	0.2301
16	ENSG00000161992	PRR35	0.8801	-0.151	-0	Not differentially expressed	0.0	0.034	1	0.8541
10	ENSG00000204149	AGAP6	0.0361	-2.096	--	Not differentially expressed	65.8	2.924	1	0.08726
1	ENSG00000116852	KIF21B	0.7082	-0.374	+-	Not differentially expressed	0.0	0.386	1	0.5346
2	ENSG00000119042	SATB2	0.5249	-0.636	+-	Not differentially expressed	0.0	0.46	1	0.4975
X	ENSG00000237628	MTCO2P19	0.6467	0.458	++	Not differentially expressed	0.0	0.001	1	0.9772
1	ENSG00000251785	RNA5SP20	0.9912	0.011	0+	Not differentially expressed	0.0	0.0	1	0.9928
5	ENSG00000168269	FOXI1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
12	ENSG00000255776	VDAC2P2	0.7798	-0.28	-+	Not differentially expressed	48.0	1.925	1	0.1653
2	ENSG00000176714	CCDC121	0.001247	3.228	++	Not differentially expressed	26.9	1.369	1	0.242
15	ENSG00000140497	SCAMP2	0.007175	2.689	++	Not differentially expressed	0.0	0.177	1	0.6737
7	ENSG00000127920	GNG11	0.009083	2.609	++	Not differentially expressed	0.0	0.393	1	0.5307
17	ENSG00000126337	KRT36	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
17	ENSG00000182156	ENPP7	0.6716	-0.424	-0	Not differentially expressed	0.0	0.267	1	0.6052
7	ENSG00000091140	DLD	0.02849	-2.19	--	Not differentially expressed	65.1	2.869	1	0.0903
19	ENSG00000269505	ZNF92P2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
X	ENSG00000182162	P2RY8	0.1204	1.553	-+	Not differentially expressed	69.0	3.223	1	0.07262
6	ENSG00000214558	AL365217.1	0.5517	0.595	+0	Not differentially expressed	0.0	0.527	1	0.4679
12	ENSG00000167588	GPD1	0.05318	-1.933	-+	Not differentially expressed	86.2	7.266	1	0.007028
11	ENSG00000214782	MS4A18	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
8	ENSG00000235173	HGH1	0.607	-0.514	-+	Not differentially expressed	24.0	1.317	1	0.2512
16	ENSG00000140829	DHX38	0.9216	0.098	-+	Not differentially expressed	49.6	1.985	1	0.1589
4	ENSG00000109685	NSD2	0.9629	0.047	+-	Not differentially expressed	0.0	0.016	1	0.9003
12	ENSG00000231313	CLIC1P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
5	ENSG00000249850	KRT18P31	0.09195	1.685	++	Not differentially expressed	0.0	0.034	1	0.8532
X	ENSG00000237748	UQCRBP1	0.2006	1.28	++	Not differentially expressed	0.0	0.412	1	0.5212
9	ENSG00000119509	INVS	0.1381	1.483	++	Not differentially expressed	0.0	0.938	1	0.3328
17	ENSG00000198909	MAP3K3	0.0002212	3.693	++	Not differentially expressed	0.0	0.244	1	0.6214
5	ENSG00000233787	AC010374.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
14	ENSG00000100632	ERH	0.001003	-3.29	--	Not differentially expressed	0.0	0.654	1	0.4187
1	ENSG00000277462	ZNF670	0.8847	0.145	+-	Not differentially expressed	63.4	2.735	1	0.09818
12	ENSG00000151062	CACNA2D4	0.8207	-0.227	-+	Not differentially expressed	83.4	6.028	1	0.01408
10	ENSG00000233189	RPL12P29	0.4897	-0.691	+-	Not differentially expressed	0.0	0.47	1	0.493
1	ENSG00000197106	SLC6A17	0.002894	-2.979	--	Not differentially expressed	0.0	0.71	1	0.3994
9	ENSG00000148053	NTRK2	0.2139	1.243	+-	Not differentially expressed	86.8	7.587	1	0.005879
2	ENSG00000248672	LY75-CD302	0.3847	0.869	++	Not differentially expressed	0.0	0.132	1	0.7166
2	ENSG00000079263	SP140	0.3031	-1.03	--	Not differentially expressed	0.0	0.805	1	0.3695
19	ENSG00000105290	APLP1	0.03179	-2.147	-+	Not differentially expressed	94.1	16.868	1	4.008e-05
11	ENSG00000129152	MYOD1	0.4671	0.727	+0	Not differentially expressed	0.0	0.787	1	0.3751
1	ENSG00000160789	LMNA	0.03571	2.1	++	Not differentially expressed	45.1	1.82	1	0.1773
3	ENSG00000270285	AC124916.2	0.4483	0.758	++	Not differentially expressed	0.0	0.317	1	0.5736
17	ENSG00000141552	ANAPC11	0.07051	-1.809	--	Not differentially expressed	0.0	0.408	1	0.5231
16	ENSG00000103248	MTHFSD	0.8838	-0.146	-+	Not differentially expressed	28.3	1.394	1	0.2377
6	ENSG00000112578	BYSL	0.1202	-1.554	--	Not differentially expressed	36.2	1.568	1	0.2105
1	ENSG00000231900	GOT2P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
2	ENSG00000143882	ATP6V1C2	0.04643	-1.991	-+	Not differentially expressed	92.1	12.684	1	0.0003688
20	ENSG00000270299	AL121758.1	0.6748	-0.42	--	Not differentially expressed	0.0	0.108	1	0.7423
8	ENSG00000253336	AC018992.1	0.2961	-1.045	--	Not differentially expressed	0.0	0.157	1	0.6917
22	ENSG00000070010	UFD1	0.0001954	3.725	++	Not differentially expressed	70.1	3.341	1	0.06759
7	ENSG00000105953	OGDH	0.005474	2.778	+-	Not differentially expressed	94.7	18.753	1	1.488e-05
2	ENSG00000273269	AC073283.3	0.9148	-0.107	-+	Not differentially expressed	0.0	0.045	1	0.8319
2	ENSG00000180152	XIAPP3	0.7344	0.339	-+	Not differentially expressed	71.5	3.512	1	0.06091
12	ENSG00000166881	NEMP1	0.06941	1.816	++	Not differentially expressed	73.8	3.817	1	0.05072
1	ENSG00000223963	THAP12P8	0.8395	-0.202	+-	Not differentially expressed	0.0	0.221	1	0.6383
8	ENSG00000154589	LY96	0.1616	1.4	++	Not differentially expressed	0.0	0.736	1	0.3909
16	ENSG00000258429	PDF	0.05966	-1.883	--	Not differentially expressed	0.0	0.112	1	0.7384
5	ENSG00000145703	IQGAP2	0.009339	2.599	++	Not differentially expressed	0.0	0.121	1	0.7279
12	ENSG00000127311	HELB	0.2503	1.15	++	Not differentially expressed	0.0	0.296	1	0.5866
11	ENSG00000182272	B4GALNT4	0.48	-0.706	-+	Not differentially expressed	11.1	1.125	1	0.2889
7	ENSG00000154997	SEPT14	0.1642	1.391	++	Not differentially expressed	0.0	0.732	1	0.3922
12	ENSG00000255973	AC137627.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
11	ENSG00000120458	MSANTD2	0.5026	-0.67	--	Not differentially expressed	0.0	0.001	1	0.9691
15	ENSG00000090470	PDCD7	0.1433	-1.464	--	Not differentially expressed	50.8	2.032	1	0.154
2	ENSG00000003400	CASP10	0.1808	1.338	-+	Not differentially expressed	67.0	3.028	1	0.08182
3	ENSG00000244681	MTHFD2P1	0.8077	0.243	-+	Not differentially expressed	92.4	13.179	1	0.0002832
X	ENSG00000147174	GCNA	0.01985	2.329	++	Not differentially expressed	0.0	0.001	1	0.9691
1	ENSG00000228336	OR9H1P	0.6317	0.479	-+	Not differentially expressed	0.0	0.561	1	0.454
8	ENSG00000198363	ASPH	0.268	1.108	+-	Not differentially expressed	90.5	10.565	1	0.001152
8	ENSG00000104331	IMPAD1	0.05174	-1.945	+-	Not differentially expressed	60.8	2.554	1	0.11
9	ENSG00000198785	GRIN3A	0.01012	-2.572	--	Not differentially expressed	0.0	0.402	1	0.526
11	ENSG00000130598	TNNI2	0.9799	-0.025	-0	Not differentially expressed	0.0	0.001	1	0.9754
8	ENSG00000253623	AC009879.1	0.2669	-1.11	-+	Not differentially expressed	84.3	6.387	1	0.0115
16	ENSG00000259966	AC137800.1	0.761	0.304	-+	Not differentially expressed	0.0	0.109	1	0.7411
X	ENSG00000102309	PIN4	0.03274	-2.135	--	Not differentially expressed	8.4	1.091	1	0.2961
1	ENSG00000244716	BX679664.3	0.422	0.803	++	Not differentially expressed	0.0	0.12	1	0.7293
2	ENSG00000115705	TPO	0.4629	0.734	+-	Not differentially expressed	33.1	1.495	1	0.2215
8	ENSG00000233609	RPL10P19	0.7549	0.312	-+	Not differentially expressed	73.1	3.715	1	0.05393
3	ENSG00000157087	ATP2B2	0.002374	-3.039	--	Not differentially expressed	0.0	0.115	1	0.7349
12	ENSG00000135452	TSPAN31	0.09174	1.686	++	Not differentially expressed	1.4	1.014	1	0.3139
7	ENSG00000284981	AC093668.3	0.8127	0.237	-+	Not differentially expressed	67.0	3.03	1	0.08172
12	ENSG00000167528	ZNF641	0.2851	1.069	+-	Not differentially expressed	86.6	7.49	1	0.006204
6	ENSG00000201185	RNA5SP202	0.9655	0.043	-+	Not differentially expressed	38.1	1.616	1	0.2036
X	ENSG00000228051	AL512504.2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
X	ENSG00000175718	RBMXL3	0.07884	1.757	++	Not differentially expressed	0.0	0.453	1	0.501
21	ENSG00000142178	SIK1	0.1187	1.56	++	Not differentially expressed	0.0	0.293	1	0.5885
16	ENSG00000279228	AC133555.5	0.1983	-1.286	-+	Not differentially expressed	67.1	3.037	1	0.0814
16	ENSG00000140848	CPNE2	0.715	-0.365	-+	Not differentially expressed	93.7	15.987	1	6.379e-05
3	ENSG00000163960	UBXN7	0.4041	0.834	-+	Not differentially expressed	0.0	0.731	1	0.3927
17	ENSG00000189051	RNF222	0.5788	-0.555	-+	Not differentially expressed	80.9	5.225	1	0.02226
1	ENSG00000249798	HSD3BP3	0.5829	-0.549	+-	Not differentially expressed	0.0	0.291	1	0.5898
12	ENSG00000257289	AC025423.5	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
10	ENSG00000270762	FXYD6P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
10	ENSG00000228753	EIF4BP2	0.2208	1.224	++	Not differentially expressed	0.0	0.001	1	0.9713
X	ENSG00000184343	SRPK3	0.736	0.337	-+	Not differentially expressed	90.8	10.853	1	0.0009865
4	ENSG00000163293	NIPAL1	0.7456	-0.324	+-	Not differentially expressed	0.0	0.43	1	0.5121
19	ENSG00000269069	AC007842.1	0.9332	-0.084	+-	Not differentially expressed	0.0	0.086	1	0.7697
2	ENSG00000212171	RNA5SP86	0.6327	0.478	+0	Not differentially expressed	0.0	0.34	1	0.5599
19	ENSG00000130208	APOC1	0.09567	1.666	-+	Not differentially expressed	81.7	5.455	1	0.01951
3	ENSG00000270941	AC006254.2	0.3201	0.994	++	Not differentially expressed	0.0	0.155	1	0.694
6	ENSG00000181355	OFCC1	0.2307	1.199	++	Not differentially expressed	0.0	0.955	1	0.3285
5	ENSG00000164325	TMEM174	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
19	ENSG00000183186	C2CD4C	0.002263	-3.053	--	Not differentially expressed	0.0	0.344	1	0.5576
7	ENSG00000235944	ZNF815P	0.07076	-1.807	--	Not differentially expressed	33.4	1.502	1	0.2203
11	ENSG00000215182	MUC5AC	0.3042	-1.028	--	Not differentially expressed	0.0	0.878	1	0.3488
16	ENSG00000169340	PDILT	0.5228	0.639	-+	Not differentially expressed	15.8	1.188	1	0.2757
9	ENSG00000119414	PPP6C	0.3204	-0.994	+-	Not differentially expressed	65.9	2.929	1	0.08703
4	ENSG00000249003	CLUHP4	0.8701	-0.164	-0	Not differentially expressed	0.0	0.04	1	0.8419
18	ENSG00000267541	MTCO2P2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
1	ENSG00000285641	AL358472.6	0.1744	1.358	++	Not differentially expressed	0.0	0.706	1	0.4008
X	ENSG00000185973	TMLHE	0.1609	1.402	++	Not differentially expressed	44.5	1.803	1	0.1794
X	ENSG00000232794	HNRNPDP1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
19	ENSG00000099622	CIRBP	6.472e-07	-4.977	--	Downregulated in AD	91.8	12.206	1	0.0004764
16	ENSG00000103404	USP31	0.0005721	3.445	++	Not differentially expressed	57.3	2.342	1	0.1259
1	ENSG00000215875	ST13P20	0.9601	0.05	+-	Not differentially expressed	0.0	0.023	1	0.8803
X	ENSG00000237506	RPSAP15	0.816	0.233	+0	Not differentially expressed	0.0	0.081	1	0.7766
12	ENSG00000247077	PGAM5	0.1554	-1.421	--	Not differentially expressed	0.0	0.112	1	0.7384
1	ENSG00000232113	TEX50	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
16	ENSG00000184730	APOBR	0.1667	1.383	-+	Not differentially expressed	68.5	3.175	1	0.07476
17	ENSG00000176155	CCDC57	0.1101	-1.598	-+	Not differentially expressed	85.5	6.9	1	0.008619
3	ENSG00000242551	POU5F1P6	0.3987	0.844	-+	Not differentially expressed	29.7	1.423	1	0.2329
20	ENSG00000224530	PPIAP10	0.8545	0.183	0+	Not differentially expressed	0.0	0.023	1	0.8805
19	ENSG00000196350	ZNF729	0.8377	0.205	+-	Not differentially expressed	76.9	4.329	1	0.03746
6	ENSG00000124678	TCP11	0.2115	-1.249	--	Not differentially expressed	0.0	0.609	1	0.435
12	ENSG00000139324	TMTC3	0.9971	-0.004	+-	Not differentially expressed	74.8	3.973	1	0.04624
19	ENSG00000089335	ZNF302	0.02559	2.232	++	Not differentially expressed	0.0	0.006	1	0.9362
19	ENSG00000141867	BRD4	0.08415	1.727	++	Not differentially expressed	0.0	0.036	1	0.8491
10	ENSG00000229644	NAMPTP1	0.1946	1.297	+-	Not differentially expressed	79.4	4.86	1	0.02749
4	ENSG00000248654	MTCO3P44	0.5222	-0.64	-0	Not differentially expressed	0.0	0.609	1	0.4351
21	ENSG00000224524	CYCSP42	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
12	ENSG00000237774	AC126615.1	0.8334	0.21	+0	Not differentially expressed	0.0	0.066	1	0.7975
7	ENSG00000155660	PDIA4	0.08388	1.729	++	Not differentially expressed	0.0	0.002	1	0.9646
15	ENSG00000166947	EPB42	0.9795	0.026	-+	Not differentially expressed	30.2	1.433	1	0.2313
9	ENSG00000239392	AL354989.2	0.2626	-1.12	-0	Not differentially expressed	46.4	1.867	1	0.1719
13	ENSG00000274351	AL137000.1	0.3342	0.966	++	Not differentially expressed	0.0	0.064	1	0.7995
3	ENSG00000174255	ZNF80	0.7337	0.34	-+	Not differentially expressed	43.2	1.76	1	0.1846
10	ENSG00000148541	FAM13C	0.8943	0.133	-+	Not differentially expressed	0.0	0.242	1	0.6225
3	ENSG00000114446	IFT57	0.7758	-0.285	+-	Not differentially expressed	34.0	1.514	1	0.2185
7	ENSG00000228751	AC004022.1	0.3322	0.97	++	Not differentially expressed	0.0	0.066	1	0.7971
19	ENSG00000275547	AC010632.3	0.9862	-0.017	-0	Not differentially expressed	0.0	0.0	1	0.9831
7	ENSG00000105929	ATP6V0A4	0.4715	0.72	++	Not differentially expressed	0.0	0.053	1	0.8184
12	ENSG00000257979	SNRPGP18	0.9779	-0.028	-+	Not differentially expressed	0.0	0.037	1	0.8467
1	ENSG00000229994	RPL5P4	0.5086	0.661	++	Not differentially expressed	0.0	0.024	1	0.8775
10	ENSG00000270648	CYP2C61P	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
2	ENSG00000075884	ARHGAP15	0.4231	0.801	-+	Not differentially expressed	0.0	0.969	1	0.325
10	ENSG00000120539	MASTL	0.02789	-2.199	--	Not differentially expressed	0.0	0.219	1	0.6397
17	ENSG00000074356	NCBP3	0.3034	-1.029	-+	Not differentially expressed	87.5	7.976	1	0.004741
14	ENSG00000119705	SLIRP	0.0004346	-3.518	--	Not differentially expressed	66.8	3.013	1	0.0826
12	ENSG00000084463	WBP11	0.2142	-1.242	--	Not differentially expressed	0.0	0.275	1	0.6003
14	ENSG00000185271	KLHL33	0.6566	-0.445	-+	Not differentially expressed	79.4	4.847	1	0.0277
2	ENSG00000216867	RPL22P12	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
X	ENSG00000269226	TMSB15B	0.07363	-1.789	--	Not differentially expressed	0.0	0.044	1	0.8338
1	ENSG00000198520	ARMH1	0.2316	-1.196	-+	Not differentially expressed	91.8	12.186	1	0.0004816
X	ENSG00000171100	MTM1	5.249e-05	4.044	++	Not differentially expressed	93.1	14.512	1	0.0001393
11	ENSG00000160695	VPS11	0.03059	-2.162	--	Not differentially expressed	71.6	3.523	1	0.06053
X	ENSG00000156504	FAM122B	0.0002301	-3.683	--	Not differentially expressed	54.0	2.173	1	0.1404
1	ENSG00000271164	AL139286.1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
1	ENSG00000162669	HFM1	0.8255	-0.221	+-	Not differentially expressed	0.0	0.2	1	0.6549
12	ENSG00000061936	SFSWAP	0.6392	-0.469	-+	Not differentially expressed	85.2	6.768	1	0.009281
11	ENSG00000050165	DKK3	0.1784	1.346	+-	Not differentially expressed	91.4	11.628	1	0.0006497
15	ENSG00000166938	DIS3L	0.4704	0.722	+-	Not differentially expressed	0.0	0.866	1	0.3521
17	ENSG00000168259	DNAJC7	5.781e-05	-4.022	--	Not differentially expressed	83.0	5.889	1	0.01524
X	ENSG00000101955	SRPX	0.0004387	3.516	++	Not differentially expressed	0.0	0.018	1	0.8919
4	ENSG00000154556	SORBS2	0.4222	-0.803	+-	Not differentially expressed	0.0	0.801	1	0.3707
11	ENSG00000187479	C11orf96	0.6608	0.439	++	Not differentially expressed	0.0	0.042	1	0.8371
6	ENSG00000187475	HIST1H1T	0.2059	1.265	++	Not differentially expressed	44.2	1.793	1	0.1806
19	ENSG00000231561	CEACAMP5	0.8119	0.238	+-	Not differentially expressed	0.0	0.442	1	0.5064
11	ENSG00000197692	CBX3P7	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
2	ENSG00000163359	COL6A3	3.467e-08	5.516	++	Upregulated in AD	75.1	4.012	1	0.04518
15	ENSG00000259441	MRPL15P1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
10	ENSG00000119927	GPAM	0.01385	2.461	++	Not differentially expressed	69.4	3.27	1	0.07055
14	ENSG00000196183	RPS2P4	0.5978	0.528	+0	Not differentially expressed	0.0	0.414	1	0.5199
7	ENSG00000170381	SEMA3E	0.07926	-1.755	--	Not differentially expressed	0.0	0.036	1	0.8493
22	ENSG00000128203	ASPHD2	0.418	-0.81	--	Not differentially expressed	0.0	0.098	1	0.7546
16	ENSG00000125122	LRRC29	0.03714	-2.084	-+	Not differentially expressed	85.1	6.689	1	0.0097
3	ENSG00000243989	ACY1	0.9319	0.086	-+	Not differentially expressed	80.7	5.178	1	0.02287
17	ENSG00000141294	LRRC46	0.152	1.433	-+	Not differentially expressed	75.2	4.037	1	0.04451
5	ENSG00000248923	MTND5P11	0.1494	-1.442	-0	Not differentially expressed	67.7	3.091	1	0.07871
3	ENSG00000114270	COL7A1	0.006035	-2.746	-+	Not differentially expressed	93.6	15.62	1	7.745e-05
1	ENSG00000143164	DCAF6	0.02424	-2.253	--	Not differentially expressed	0.0	0.258	1	0.6112
11	ENSG00000175216	CKAP5	0.4193	-0.808	+-	Not differentially expressed	86.7	7.541	1	0.00603
16	ENSG00000103269	RHBDL1	0.0002213	-3.693	--	Not differentially expressed	27.2	1.374	1	0.2411
11	ENSG00000149313	AASDHPPT	0.09499	-1.67	--	Not differentially expressed	0.2	1.002	1	0.3168
13	ENSG00000225777	DDX39AP1	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
9	ENSG00000232981	MTCO1P51	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
6	ENSG00000135597	REPS1	0.001074	-3.27	--	Not differentially expressed	71.7	3.534	1	0.06013
5	ENSG00000273294	C1QTNF3-AMACR	0.4802	0.706	++	Not differentially expressed	0.0	0.006	1	0.9399
1	ENSG00000277882	AL592295.2	1.0	0.0	00	Not differentially expressed	0.0	0.0	1	1.0
12	ENSG00000233381	AK4P3	0.9125	-0.11	-0	Not differentially expressed	0.0	0.018	1	0.8934
17	ENSG00000228983	SLC47A1P1	0.1599	-1.405	--	Not differentially expressed	0.0	0.975	1	0.3235
12	ENSG00000135124	P2RX4	0.2426	-1.169	-+	Not differentially expressed	88.3	8.576	1	0.003407
4	ENSG00000163071	SPATA18	0.8703	-0.163	+-	Not differentially expressed	0.0	0.449	1	0.5028
14	ENSG00000213903	LTB4R	0.5164	0.649	-+	Not differentially expressed	89.2	9.255	1	0.002348
2	ENSG00000204872	NAT8B	0.2129	1.246	++	Not differentially expressed	0.0	0.022	1	0.8821
7	ENSG00000275875	AC091812.3	0.9409	-0.074	-+	Not differentially expressed	62.9	2.696	1	0.1006
15	ENSG00000103642	LACTB	0.2925	1.053	+-	Not differentially expressed	70.4	3.382	1	0.06589
4	ENSG00000215127	SYT14P1	0.08139	1.743	++	Not differentially expressed	0.0	0.246	1	0.6197
