gene_name	Marques-Coelho_MSSB_BA44	Panitch_et_al	Fischer_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	upregulated_count	downregulated_count
DCTN1-AS1	missing	downregulated	missing	missing	missing	0	1
DCTN2	missing	missing	downregulated	missing	missing	0	1
DCTN3	missing	missing	downregulated	missing	missing	0	1
DCTPP1	missing	missing	downregulated	missing	missing	0	1
DDAH2	missing	upregulated	missing	upregulated	missing	2	0
DDHD1-DT	missing	downregulated	missing	missing	missing	0	1
DDIT4	missing	missing	upregulated	missing	upregulated	2	0
DDIT4-AS1	missing	upregulated	missing	missing	missing	1	0
DDIT4L	missing	missing	upregulated	missing	upregulated	2	0
DDIT4L-AS1	missing	upregulated	missing	missing	missing	1	0
DDOST	missing	downregulated	missing	missing	missing	0	1
DDRGK1	missing	missing	downregulated	missing	missing	0	1
DDX11L2	upregulated	missing	missing	missing	missing	1	0
DDX23	missing	upregulated	missing	missing	missing	1	0
DDX25	missing	downregulated	missing	missing	missing	0	1
DDX39A	missing	upregulated	missing	missing	missing	1	0
DDX41	missing	missing	downregulated	missing	missing	0	1
DDX49	missing	missing	downregulated	missing	missing	0	1
DEF8	missing	missing	downregulated	missing	missing	0	1
DENND2A	missing	upregulated	missing	missing	missing	1	0
DENND2B	missing	upregulated	missing	missing	missing	1	0
DENND4C	missing	missing	upregulated	missing	missing	1	0
DENND6A	missing	missing	upregulated	missing	missing	1	0
DENR	missing	downregulated	missing	missing	missing	0	1
DGKG	missing	missing	upregulated	missing	missing	1	0
DHDDS	missing	missing	downregulated	missing	missing	0	1
DHRS4L2	missing	upregulated	missing	missing	missing	1	0
DHRS7B	missing	missing	downregulated	missing	missing	0	1
DHX57	missing	downregulated	missing	missing	missing	0	1
DIO3OS	missing	upregulated	missing	missing	missing	1	0
DKKL1	missing	missing	missing	missing	upregulated	1	0
DLC1	missing	missing	upregulated	missing	missing	1	0
DLEC1	upregulated	missing	missing	missing	missing	1	0
DLEU1	missing	upregulated	missing	missing	missing	1	0
DLG5	missing	missing	upregulated	missing	missing	1	0
DLGAP1-AS5	missing	downregulated	missing	missing	missing	0	1
DLK2	missing	missing	downregulated	missing	missing	0	1
DLX4	missing	missing	missing	missing	downregulated	0	1
DMAC1	missing	downregulated	downregulated	missing	missing	0	2
DMXL2	missing	downregulated	missing	missing	missing	0	1
DNAAF11	missing	downregulated	missing	missing	missing	0	1
DNAH11	missing	missing	upregulated	missing	missing	1	0
DNAJC1	missing	upregulated	missing	missing	missing	1	0
DNAJC10	missing	downregulated	missing	missing	missing	0	1
DNAJC19	missing	downregulated	missing	missing	missing	0	1
DNAJC30	missing	missing	downregulated	missing	missing	0	1
DNAJC5	missing	missing	downregulated	missing	missing	0	1
DNAJC7	missing	missing	downregulated	missing	missing	0	1
DNM1L	missing	downregulated	missing	missing	missing	0	1
DNMBP	missing	missing	upregulated	missing	missing	1	0
DOCK1	missing	upregulated	missing	missing	missing	1	0
DOCK6-AS1	missing	upregulated	missing	missing	missing	1	0
DOP1A	missing	downregulated	missing	missing	missing	0	1
DPEP3	missing	upregulated	missing	missing	missing	1	0
DPH2	missing	missing	downregulated	missing	missing	0	1
DPM1	missing	missing	downregulated	missing	missing	0	1
DPP6	missing	downregulated	missing	missing	missing	0	1
DPPA4	missing	missing	missing	upregulated	missing	1	0
DPY19L2	missing	downregulated	missing	missing	missing	0	1
DRAP1	missing	missing	downregulated	missing	missing	0	1
DRD5	downregulated	missing	missing	missing	missing	0	1
DRG1	missing	missing	downregulated	missing	missing	0	1
DTHD1	upregulated	missing	missing	missing	missing	1	0
DTNA	missing	upregulated	upregulated	missing	missing	2	0
DTNB	missing	missing	downregulated	missing	missing	0	1
DTX2	upregulated	missing	missing	missing	missing	1	0
DUS2	missing	missing	downregulated	missing	missing	0	1
DUSP1	missing	missing	upregulated	missing	missing	1	0
DUSP2	downregulated	missing	missing	missing	missing	0	1
DUSP4	downregulated	downregulated	missing	missing	missing	0	2
DUSP6	downregulated	missing	missing	missing	missing	0	1
DUTP7	upregulated	missing	missing	missing	missing	1	0
DYNC1I1	missing	downregulated	missing	missing	missing	0	1
DYNC2LI1	missing	downregulated	missing	missing	missing	0	1
DYNLT3	missing	downregulated	missing	missing	missing	0	1
DZANK1	missing	downregulated	missing	missing	missing	0	1
EBF4	missing	upregulated	missing	missing	missing	1	0
EBNA1BP2	missing	downregulated	downregulated	missing	missing	0	2
ECE1-AS1	missing	upregulated	missing	missing	missing	1	0
ECHS1	missing	missing	downregulated	missing	missing	0	1
ECM2	upregulated	missing	missing	missing	missing	1	0
EDDM3CP	upregulated	missing	missing	missing	missing	1	0
EDF1	missing	missing	downregulated	missing	missing	0	1
EEF1AKMT2	missing	downregulated	missing	missing	missing	0	1
EEF1E1	missing	missing	downregulated	missing	missing	0	1
EEF1E1-BLOC1S5	missing	downregulated	missing	missing	missing	0	1
EEF2K	missing	missing	upregulated	missing	missing	1	0
EFCAB14	missing	missing	upregulated	missing	missing	1	0
EGFR	missing	missing	upregulated	missing	missing	1	0
EGLN1	missing	missing	upregulated	missing	missing	1	0
EGR4	missing	missing	missing	downregulated	missing	0	1
EHMT1	missing	upregulated	missing	missing	missing	1	0
EID2B	missing	downregulated	missing	missing	missing	0	1
EIF1AXP2	upregulated	missing	missing	missing	missing	1	0
EIF2AK3	missing	missing	upregulated	missing	missing	1	0
EIF3I	missing	missing	downregulated	missing	missing	0	1
EIF3K	missing	missing	downregulated	missing	missing	0	1
EIF4EBP2	missing	missing	upregulated	missing	missing	1	0
EIPR1	missing	missing	downregulated	missing	missing	0	1
ELF1	missing	missing	upregulated	missing	missing	1	0
ELP2	missing	downregulated	missing	missing	missing	0	1
ELP5	missing	missing	downregulated	missing	missing	0	1
EMC1-AS1	missing	downregulated	missing	missing	missing	0	1
EMC3	missing	missing	downregulated	missing	missing	0	1
EMC4	missing	downregulated	downregulated	missing	missing	0	2
EMC9	missing	missing	downregulated	missing	missing	0	1
EMD	missing	missing	downregulated	missing	missing	0	1
EMILIN1	missing	upregulated	missing	missing	missing	1	0
EMP3	missing	upregulated	missing	missing	upregulated	2	0
EMX2	missing	missing	upregulated	missing	missing	1	0
EMX2OS	missing	upregulated	missing	missing	missing	1	0
ENDOV	missing	missing	downregulated	missing	missing	0	1
ENSG00000217078	missing	missing	missing	missing	upregulated	1	0
ENSG00000217488	upregulated	missing	missing	missing	missing	1	0
ENSG00000220614	upregulated	missing	missing	missing	missing	1	0
ENSG00000220660	upregulated	missing	missing	missing	missing	1	0
ENSG00000224370	upregulated	missing	missing	missing	missing	1	0
ENSG00000225840	downregulated	missing	missing	missing	missing	0	1
ENSG00000227625	missing	missing	missing	missing	downregulated	0	1
ENSG00000233139	missing	missing	missing	upregulated	missing	1	0
ENSG00000235510	missing	missing	missing	missing	downregulated	0	1
ENSG00000248305	upregulated	missing	missing	missing	missing	1	0
ENSG00000249068	upregulated	missing	missing	missing	missing	1	0
ENSG00000249072	downregulated	missing	missing	missing	missing	0	1
ENSG00000249577	missing	missing	missing	missing	upregulated	1	0
ENSG00000249930	missing	missing	missing	missing	downregulated	0	1
ENSG00000259505	upregulated	missing	missing	missing	missing	1	0
ENSG00000259882	missing	missing	missing	missing	upregulated	1	0
ENSG00000260782	missing	missing	missing	missing	downregulated	0	1
ENSG00000261970	upregulated	missing	missing	missing	missing	1	0
ENSG00000262384	missing	missing	missing	missing	downregulated	0	1
ENSG00000266179	downregulated	missing	missing	missing	missing	0	1
ENSG00000267166	upregulated	missing	missing	missing	missing	1	0
ENSG00000267561	downregulated	missing	missing	missing	missing	0	1
ENSG00000267623	missing	missing	missing	downregulated	missing	0	1
ENSG00000267630	downregulated	missing	missing	downregulated	missing	0	2
ENSG00000271500	upregulated	missing	missing	missing	missing	1	0
ENSG00000273259	upregulated	missing	missing	missing	missing	1	0
ENSG00000274664	missing	missing	missing	missing	downregulated	0	1
ENSG00000278384	upregulated	missing	missing	missing	missing	1	0
ENSG00000283321	missing	missing	missing	missing	downregulated	0	1
ENSG00000285310	upregulated	missing	missing	missing	missing	1	0
ENSG00000285505	missing	missing	missing	missing	downregulated	0	1
ENTPD6	missing	missing	downregulated	missing	missing	0	1
EOLA1	missing	missing	downregulated	missing	missing	0	1
EOLA1-DT	missing	downregulated	missing	missing	missing	0	1
EP300	missing	missing	upregulated	missing	missing	1	0
EPB41L3	missing	downregulated	missing	missing	missing	0	1
EPC1	missing	missing	upregulated	missing	missing	1	0
EPCIP	missing	upregulated	missing	missing	missing	1	0
EPHA5	downregulated	missing	missing	missing	missing	0	1
EPHB4	missing	missing	missing	upregulated	missing	1	0
EPOP	downregulated	missing	missing	missing	missing	0	1
EPSTI1	upregulated	missing	missing	missing	missing	1	0
ERBIN	missing	missing	upregulated	missing	missing	1	0
ERBIN-DT	missing	upregulated	missing	missing	missing	1	0
ERLEC1	missing	downregulated	missing	missing	missing	0	1
ERN1	missing	missing	upregulated	missing	missing	1	0
ERP29	missing	missing	downregulated	missing	missing	0	1
ESAM-AS1	missing	upregulated	missing	missing	missing	1	0
ETV2	missing	upregulated	missing	missing	missing	1	0
ETV4	missing	upregulated	missing	missing	missing	1	0
EVA1B	missing	upregulated	missing	missing	missing	1	0
EVC	missing	missing	upregulated	missing	missing	1	0
EVC2	missing	missing	upregulated	missing	missing	1	0
EVL	missing	upregulated	downregulated	missing	missing	1	1
EXOSC1	missing	missing	downregulated	missing	missing	0	1
EXOSC4	missing	missing	downregulated	missing	missing	0	1
EXOSC5	missing	missing	downregulated	missing	missing	0	1
EXOSC7	missing	missing	downregulated	missing	missing	0	1
EXTL1	missing	missing	downregulated	missing	missing	0	1
EYA2-AS1	missing	upregulated	missing	missing	missing	1	0
EZR	missing	missing	upregulated	missing	missing	1	0
EZR-AS1	missing	upregulated	missing	missing	missing	1	0
FABP3	missing	missing	downregulated	missing	missing	0	1
FAHD2B	missing	missing	downregulated	missing	missing	0	1
FAM107A	missing	upregulated	missing	upregulated	missing	2	0
FAM110A	missing	upregulated	missing	missing	missing	1	0
FAM110D	missing	upregulated	missing	missing	missing	1	0
FAM111A	missing	missing	upregulated	missing	missing	1	0
FAM131A	missing	missing	downregulated	missing	missing	0	1
FAM167B	missing	upregulated	missing	missing	upregulated	2	0
FAM174A-DT	missing	downregulated	missing	missing	missing	0	1
FAM174B	missing	missing	downregulated	missing	missing	0	1
FAM181B	missing	upregulated	missing	missing	missing	1	0
FAM182B	missing	missing	downregulated	missing	missing	0	1
FAM200A	missing	missing	downregulated	missing	missing	0	1
FAM218BP	missing	downregulated	missing	missing	missing	0	1
FAM241B	missing	missing	downregulated	missing	missing	0	1
FAM3A	missing	missing	downregulated	missing	missing	0	1
FAM3C	missing	downregulated	missing	missing	missing	0	1
FAM81A	missing	downregulated	missing	missing	missing	0	1
FAM86B3P	missing	downregulated	missing	missing	missing	0	1
FANCC	missing	upregulated	missing	missing	missing	1	0
FANCE	missing	upregulated	missing	missing	missing	1	0
FARSA	missing	missing	downregulated	missing	missing	0	1
FARSB	missing	downregulated	downregulated	missing	missing	0	2
FAT1	missing	missing	upregulated	missing	missing	1	0
FBL	missing	upregulated	missing	missing	missing	1	0
FBLN7	missing	downregulated	missing	missing	missing	0	1
FBP2	missing	missing	missing	missing	downregulated	0	1
FBXL19-AS1	missing	upregulated	missing	missing	missing	1	0
FBXL2	missing	downregulated	missing	missing	missing	0	1
FBXL3	missing	missing	upregulated	missing	missing	1	0
FBXL7	missing	upregulated	missing	missing	missing	1	0
FBXO16	missing	downregulated	missing	missing	missing	0	1
FBXO2	missing	upregulated	missing	missing	missing	1	0
FBXO46	missing	missing	missing	upregulated	missing	1	0
FBXO5	missing	missing	upregulated	missing	missing	1	0
FBXO9	missing	downregulated	missing	missing	missing	0	1
FCGBP	missing	missing	missing	upregulated	missing	1	0
FCGR2B	upregulated	missing	missing	missing	missing	1	0
FCHO2	missing	missing	upregulated	missing	missing	1	0
FCHSD2	missing	upregulated	upregulated	missing	missing	2	0
FER	missing	missing	upregulated	missing	missing	1	0
FFAR4	missing	downregulated	missing	missing	missing	0	1
FGD2	missing	missing	upregulated	missing	missing	1	0
FGD4	missing	missing	upregulated	missing	missing	1	0
FGR	upregulated	missing	missing	missing	missing	1	0
FHIP1B	missing	downregulated	downregulated	missing	missing	0	2
FIBP	missing	missing	downregulated	missing	missing	0	1
FIGN	missing	missing	upregulated	missing	missing	1	0
FKBP14	missing	missing	upregulated	missing	missing	1	0
FKBP2	missing	missing	downregulated	missing	missing	0	1
FKBP3	missing	missing	downregulated	missing	missing	0	1
FKBP5	missing	missing	upregulated	missing	missing	1	0
FLII	missing	upregulated	missing	missing	missing	1	0
FLRT1	missing	missing	downregulated	missing	missing	0	1
FLT1	missing	missing	upregulated	missing	missing	1	0
FLT3LG	missing	upregulated	missing	missing	missing	1	0
FMNL2	missing	missing	upregulated	missing	missing	1	0
FMNL3	missing	missing	upregulated	missing	missing	1	0
FMO3	missing	missing	upregulated	missing	missing	1	0
FMO5	missing	missing	upregulated	missing	missing	1	0
FN3KRP	missing	missing	downregulated	missing	missing	0	1
FNBP1L	missing	missing	upregulated	missing	missing	1	0
FNDC11	missing	missing	missing	missing	upregulated	1	0
FNDC4	missing	missing	downregulated	missing	missing	0	1
FOS	upregulated	missing	missing	missing	missing	1	0
FOXA3	missing	missing	missing	missing	upregulated	1	0
FOXC2-AS1	missing	upregulated	missing	missing	missing	1	0
FOXCUT	missing	upregulated	missing	missing	missing	1	0
FOXD1	upregulated	missing	upregulated	missing	upregulated	3	0
FOXD1-AS1	missing	upregulated	missing	missing	missing	1	0
FOXD2-AS1	missing	upregulated	missing	missing	missing	1	0
FOXF1	missing	missing	upregulated	missing	missing	1	0
FOXJ1	upregulated	upregulated	missing	missing	upregulated	3	0
FOXN3	missing	missing	upregulated	missing	missing	1	0
FOXN3-AS2	missing	upregulated	missing	missing	missing	1	0
FOXO1	missing	missing	upregulated	missing	missing	1	0
FOXO4	missing	upregulated	missing	missing	missing	1	0
FOXRED1	missing	missing	downregulated	missing	missing	0	1
FRAT2	missing	upregulated	missing	missing	missing	1	0
FREM3	downregulated	missing	missing	missing	downregulated	0	2
FREY1	upregulated	missing	missing	missing	upregulated	2	0
FRMPD2	missing	downregulated	downregulated	downregulated	downregulated	0	4
FRMPD2B	downregulated	missing	missing	missing	downregulated	0	2
FRS2	missing	missing	upregulated	missing	missing	1	0
FRS3	missing	missing	downregulated	missing	missing	0	1
FURIN	missing	upregulated	missing	missing	missing	1	0
FUS	missing	missing	downregulated	missing	missing	0	1
FUT7	upregulated	missing	missing	missing	missing	1	0
FXYD5	missing	upregulated	missing	missing	missing	1	0
FXYD6	missing	missing	downregulated	missing	missing	0	1
FYCO1	missing	upregulated	upregulated	missing	missing	2	0
FYN	missing	upregulated	missing	missing	missing	1	0
FZD7	missing	missing	upregulated	missing	missing	1	0
FZD8	missing	upregulated	missing	missing	missing	1	0
FZD9	missing	upregulated	missing	missing	upregulated	2	0
G3BP1	missing	missing	upregulated	missing	missing	1	0
GABARAPL1-AS1	missing	downregulated	missing	missing	missing	0	1
GABPA	missing	missing	upregulated	missing	missing	1	0
GABRA3	downregulated	missing	missing	missing	missing	0	1
GABRA6-AS1	missing	downregulated	missing	missing	missing	0	1
GABRG1	missing	missing	upregulated	missing	missing	1	0
GAD1	missing	downregulated	missing	missing	missing	0	1
GAD2	missing	downregulated	missing	missing	missing	0	1
GALNT11	missing	downregulated	missing	missing	missing	0	1
GALNT15	upregulated	missing	missing	missing	missing	1	0
GAMT	missing	missing	downregulated	missing	missing	0	1
GAREM1	missing	missing	upregulated	missing	missing	1	0
GAREM2	missing	upregulated	upregulated	missing	upregulated	3	0
GARIN5A	missing	missing	downregulated	missing	missing	0	1
GARNL3	missing	downregulated	missing	missing	missing	0	1
GAS1RR	missing	upregulated	missing	missing	missing	1	0
GAS2L1	missing	upregulated	missing	missing	missing	1	0
GATA2	upregulated	missing	missing	missing	missing	1	0
GATB	missing	missing	downregulated	missing	missing	0	1
GATD1	missing	missing	downregulated	missing	missing	0	1
GCN1	missing	missing	upregulated	missing	missing	1	0
GDAP1	missing	downregulated	missing	missing	missing	0	1
GDF1	missing	upregulated	missing	missing	missing	1	0
GDF11	missing	upregulated	missing	missing	missing	1	0
GDI1	missing	missing	downregulated	missing	missing	0	1
GDPGP1	missing	missing	downregulated	missing	missing	0	1
GEM	missing	missing	missing	missing	upregulated	1	0
GFAP	upregulated	upregulated	missing	upregulated	upregulated	4	0
GFRA2	downregulated	missing	missing	missing	missing	0	1
GFRA3	missing	missing	missing	missing	upregulated	1	0
GFUS	missing	missing	downregulated	missing	missing	0	1
GIGYF2	missing	upregulated	upregulated	missing	missing	2	0
GIMAP1-GIMAP5	missing	upregulated	missing	missing	missing	1	0
GIMAP5	missing	missing	upregulated	missing	missing	1	0
GIPC3	missing	upregulated	missing	missing	missing	1	0
GIPR	missing	upregulated	missing	missing	missing	1	0
GIT1	missing	upregulated	missing	missing	missing	1	0
GJA4	missing	missing	missing	missing	upregulated	1	0
GJC1	missing	missing	upregulated	missing	missing	1	0
GJD3	missing	upregulated	missing	missing	missing	1	0
GLI1	missing	upregulated	upregulated	missing	upregulated	3	0
GLI2	missing	missing	upregulated	missing	missing	1	0
GLOD4	missing	downregulated	downregulated	missing	missing	0	2
GLULP1	missing	missing	missing	missing	upregulated	1	0
GMNC	upregulated	missing	missing	missing	missing	1	0
GMNN	missing	upregulated	missing	missing	missing	1	0
GMPR	upregulated	missing	missing	upregulated	missing	2	0
GNA12	missing	upregulated	missing	upregulated	missing	2	0
GNA13	missing	missing	upregulated	missing	missing	1	0
GNAI3	missing	missing	upregulated	missing	missing	1	0
GNG12	missing	missing	upregulated	missing	missing	1	0
GNL3LP1	missing	missing	missing	missing	downregulated	0	1
GNRH1	upregulated	missing	missing	missing	missing	1	0
GOLGA2	missing	missing	missing	upregulated	missing	1	0
GOLGA4	missing	missing	upregulated	missing	missing	1	0
GOLGA6B	missing	missing	missing	missing	downregulated	0	1
GOLGA6L2	missing	missing	missing	missing	downregulated	0	1
GOLGA8B	missing	downregulated	missing	missing	missing	0	1
GOLGB1	missing	missing	upregulated	missing	missing	1	0
GOLM1	missing	missing	upregulated	missing	missing	1	0
GOLPH3	missing	missing	upregulated	missing	missing	1	0
GOLT1A	missing	downregulated	missing	missing	missing	0	1
GOLT1B	missing	downregulated	missing	missing	missing	0	1
GPAA1	missing	missing	downregulated	missing	missing	0	1
GPALPP1	missing	downregulated	missing	missing	missing	0	1
GPAM	missing	missing	upregulated	missing	missing	1	0
GPATCH8	missing	missing	upregulated	missing	missing	1	0
GPCPD1	missing	downregulated	downregulated	missing	missing	0	2
GPER1	missing	upregulated	missing	missing	missing	1	0
GPHN	missing	downregulated	missing	missing	missing	0	1
GPI	missing	downregulated	missing	missing	missing	0	1
GPIHBP1	missing	missing	missing	missing	upregulated	1	0
GPR108	missing	upregulated	missing	missing	missing	1	0
GPR135	missing	downregulated	missing	missing	missing	0	1
GPR158-AS1	missing	downregulated	missing	missing	missing	0	1
GPR3	missing	missing	downregulated	missing	missing	0	1
GPR75	missing	missing	upregulated	missing	missing	1	0
GPR84-AS1	missing	upregulated	missing	missing	missing	1	0
GPR89P	missing	missing	missing	missing	downregulated	0	1
GPRASP1	missing	downregulated	missing	missing	missing	0	1
GPS2	missing	upregulated	missing	missing	missing	1	0
GRAMD1C	missing	missing	upregulated	missing	missing	1	0
GRAMD2B	missing	missing	upregulated	missing	missing	1	0
GRB14	missing	missing	missing	downregulated	missing	0	1
GRIA2	missing	downregulated	missing	missing	missing	0	1
GRIA4	missing	downregulated	missing	missing	missing	0	1
GRIK1-AS1	missing	downregulated	missing	missing	missing	0	1
GRIK5	missing	downregulated	missing	missing	missing	0	1
GRINA	missing	missing	downregulated	missing	missing	0	1
GRIPAP1	missing	downregulated	downregulated	missing	missing	0	2
GRP	downregulated	missing	missing	missing	missing	0	1
GSDMD	missing	upregulated	missing	missing	missing	1	0
GSG1L2	missing	missing	missing	missing	downregulated	0	1
GSKIP	missing	downregulated	missing	missing	missing	0	1
GSPT1	missing	missing	upregulated	missing	missing	1	0
GSTA4	missing	downregulated	downregulated	missing	missing	0	2
GSTO1	missing	missing	downregulated	missing	missing	0	1
GTPBP10	missing	downregulated	missing	missing	missing	0	1
GUSBP5	downregulated	missing	missing	missing	missing	0	1
GYPC	missing	upregulated	missing	missing	missing	1	0
H3P43	upregulated	missing	missing	missing	missing	1	0
HABP4	missing	missing	downregulated	missing	missing	0	1
HACE1	missing	downregulated	missing	missing	missing	0	1
HAPLN1	missing	downregulated	missing	missing	missing	0	1
HARBI1	missing	upregulated	missing	missing	missing	1	0
HAS1	downregulated	missing	missing	missing	missing	0	1
HAUS6	missing	missing	upregulated	missing	missing	1	0
HAX1	missing	missing	downregulated	missing	missing	0	1
HBG2	missing	missing	missing	missing	downregulated	0	1
HBP1	missing	missing	upregulated	missing	missing	1	0
HCRTR2	missing	missing	downregulated	missing	missing	0	1
HDAC9-AS1	missing	downregulated	missing	missing	missing	0	1
HDC	missing	missing	missing	missing	downregulated	0	1
HDGFL1	missing	upregulated	missing	missing	missing	1	0
HEATR1	missing	missing	upregulated	missing	missing	1	0
HEATR5A	missing	missing	upregulated	missing	missing	1	0
HECTD2-AS1	missing	downregulated	missing	missing	missing	0	1
HEPH	missing	missing	upregulated	missing	missing	1	0
HERC2P3	upregulated	missing	missing	missing	upregulated	2	0
HEXIM1	missing	upregulated	missing	missing	missing	1	0
HEY2-AS1	missing	upregulated	missing	missing	missing	1	0
HGS	missing	missing	downregulated	missing	missing	0	1
HIF1A	missing	missing	upregulated	missing	missing	1	0
HIF3A	missing	missing	upregulated	missing	missing	1	0
HIGD1B	missing	upregulated	missing	missing	missing	1	0
HIP1	missing	upregulated	missing	missing	missing	1	0
HIPK1	missing	missing	upregulated	missing	missing	1	0
HIPK2	missing	missing	missing	upregulated	missing	1	0
HIPK3	missing	missing	upregulated	missing	missing	1	0
HJV	missing	missing	missing	missing	downregulated	0	1
HLA-A	upregulated	missing	missing	missing	missing	1	0
HLA-B	missing	missing	missing	missing	upregulated	1	0
HLA-C	missing	missing	missing	missing	upregulated	1	0
HLA-DMA	upregulated	missing	missing	missing	missing	1	0
HLA-DQB1	missing	missing	missing	missing	upregulated	1	0
HLA-DRB1	missing	missing	missing	missing	upregulated	1	0
HMBOX1-IT1	missing	upregulated	missing	missing	missing	1	0
HMG20B	missing	upregulated	missing	missing	missing	1	0
HMGA2	downregulated	missing	missing	missing	missing	0	1
HMGN2	missing	downregulated	downregulated	missing	missing	0	2
HMOX1	upregulated	missing	missing	missing	missing	1	0
HNRNPA1	missing	missing	downregulated	missing	missing	0	1
HNRNPA1P59	upregulated	missing	missing	missing	missing	1	0
HOMER1	downregulated	missing	missing	missing	missing	0	1
HOMER3-AS1	missing	upregulated	missing	missing	missing	1	0
HOOK3	missing	missing	upregulated	missing	missing	1	0
HOPX	missing	downregulated	missing	missing	missing	0	1
HPCA	missing	missing	downregulated	missing	missing	0	1
HPF1	missing	missing	downregulated	missing	missing	0	1
HPRT1	missing	downregulated	missing	missing	missing	0	1
HPX	missing	missing	missing	missing	downregulated	0	1
HRAS	missing	missing	downregulated	missing	missing	0	1
HS1BP3-IT1	missing	upregulated	missing	missing	missing	1	0
HS6ST2-AS1	missing	downregulated	missing	missing	missing	0	1
HSD11B2	upregulated	upregulated	upregulated	missing	upregulated	4	0
HSPA2	missing	missing	missing	missing	upregulated	1	0
HSPA2-AS1	missing	upregulated	missing	missing	missing	1	0
HSPB1	missing	upregulated	missing	missing	missing	1	0
HSPB2-C11orf52	missing	upregulated	missing	missing	missing	1	0
HSPB3	downregulated	downregulated	missing	missing	missing	0	2
HSPB7	missing	upregulated	missing	missing	missing	1	0
HSPE1P11	upregulated	missing	missing	missing	missing	1	0
HTR3B	missing	downregulated	missing	missing	missing	0	1
HTR7P1	missing	downregulated	missing	missing	missing	0	1
HTRA2	missing	missing	downregulated	missing	missing	0	1
HUNK-AS1	missing	downregulated	missing	missing	missing	0	1
HVCN1	missing	upregulated	missing	missing	missing	1	0
HYAL2	missing	upregulated	missing	missing	missing	1	0
IARS1	missing	downregulated	missing	missing	missing	0	1
ICA1-AS1	missing	downregulated	missing	missing	missing	0	1
ICA1L	missing	downregulated	missing	missing	missing	0	1
ICAM5	missing	missing	downregulated	missing	downregulated	0	2
ID3	upregulated	upregulated	missing	missing	missing	2	0
ID4	missing	missing	upregulated	missing	missing	1	0
IDH3B	missing	missing	downregulated	missing	missing	0	1
IFI44	upregulated	missing	missing	missing	missing	1	0
IFI44L	upregulated	missing	missing	missing	missing	1	0
IFIH1	upregulated	missing	missing	missing	missing	1	0
IFT140	missing	upregulated	missing	missing	missing	1	0
IGF1	downregulated	missing	missing	missing	missing	0	1
IGFBP-AS1	missing	upregulated	missing	missing	missing	1	0
IGFBP3	missing	missing	upregulated	missing	missing	1	0
IGFBP5	missing	missing	missing	upregulated	missing	1	0
IGSF11	missing	missing	upregulated	missing	missing	1	0
IGSF3	missing	downregulated	missing	missing	missing	0	1
IGSF9	downregulated	missing	missing	missing	missing	0	1
IKBIP	missing	upregulated	missing	missing	missing	1	0
IKZF2	missing	missing	upregulated	missing	missing	1	0
IKZF4	missing	missing	upregulated	missing	missing	1	0
IL10RA	missing	missing	missing	upregulated	missing	1	0
IL13RA1	missing	missing	upregulated	missing	missing	1	0
IL17REL	missing	missing	missing	missing	downregulated	0	1
IL1RL2	downregulated	downregulated	missing	downregulated	missing	0	3
IL4R	missing	missing	upregulated	missing	missing	1	0
IL6ST	missing	missing	upregulated	missing	missing	1	0
IL9	missing	missing	missing	missing	upregulated	1	0
ILK	missing	upregulated	missing	missing	missing	1	0
IMMT	missing	downregulated	missing	missing	missing	0	1
IMP4	missing	missing	downregulated	missing	missing	0	1
INHBB	missing	missing	upregulated	missing	missing	1	0
INPP5D	missing	missing	upregulated	upregulated	missing	2	0
INPPL1	missing	missing	upregulated	missing	missing	1	0
INSM1	missing	missing	downregulated	missing	missing	0	1
IP6K3	missing	missing	missing	missing	upregulated	1	0
IQGAP1	missing	missing	upregulated	missing	missing	1	0
IQGAP3	missing	downregulated	downregulated	missing	missing	0	2
IRAK3	missing	missing	upregulated	missing	missing	1	0
IRF2	missing	missing	upregulated	missing	missing	1	0
ISYNA1	missing	upregulated	missing	missing	upregulated	2	0
ITFG1-AS1	missing	downregulated	missing	missing	missing	0	1
ITGA1	missing	missing	upregulated	missing	missing	1	0
ITGA10	missing	upregulated	upregulated	missing	missing	2	0
ITGA11	missing	upregulated	missing	missing	missing	1	0
ITGA8	missing	missing	upregulated	missing	missing	1	0
ITGAV	missing	missing	upregulated	missing	missing	1	0
ITGB5	missing	missing	upregulated	missing	missing	1	0
ITGB5-AS1	missing	upregulated	missing	missing	missing	1	0
ITGB8	missing	missing	upregulated	missing	missing	1	0
ITPA	missing	missing	downregulated	missing	missing	0	1
ITPK1-AS1	missing	upregulated	missing	missing	missing	1	0
ITPKB	missing	missing	upregulated	upregulated	upregulated	3	0
ITPKB-AS1	missing	upregulated	missing	missing	missing	1	0
ITPR2	missing	missing	upregulated	missing	missing	1	0
ITPR3	missing	missing	missing	upregulated	missing	1	0
ITPRIPL2	missing	upregulated	upregulated	missing	missing	2	0
JADE3	missing	upregulated	missing	missing	missing	1	0
JAK1	missing	missing	upregulated	missing	missing	1	0
JAK2	missing	missing	upregulated	missing	missing	1	0
JAZF1-AS1	missing	downregulated	missing	missing	missing	0	1
JMJD1C	missing	missing	upregulated	missing	missing	1	0
JMJD4	missing	missing	downregulated	missing	missing	0	1
JPT1	missing	missing	downregulated	missing	missing	0	1
JUP	missing	upregulated	missing	missing	missing	1	0
