gene_name	Annese_et_al	Magistry_et_al	Luo_et_al	van_Rooij_et_al	upregulated_count	downregulated_count
CXCR4	upregulated	missing	missing	upregulated	2	0
CXCR6	missing	missing	missing	upregulated	1	0
CXXC1	upregulated	missing	missing	missing	1	0
CXXC5-AS1	missing	missing	downregulated	missing	0	1
CYB561	missing	missing	missing	downregulated	0	1
CYB561A3	missing	missing	missing	upregulated	1	0
CYBA	missing	missing	upregulated	missing	1	0
CYBB	upregulated	missing	missing	missing	1	0
CYCS	downregulated	missing	upregulated	missing	1	1
CYFIP2	downregulated	missing	missing	downregulated	0	2
CYLD	missing	missing	upregulated	missing	1	0
CYP24A1	downregulated	missing	missing	missing	0	1
CYP26A1	upregulated	missing	missing	missing	1	0
CYP26B1	downregulated	missing	upregulated	downregulated	1	2
CYP27B1	missing	missing	downregulated	missing	0	1
CYP2J2	upregulated	missing	missing	missing	1	0
CYP2U1-AS1	downregulated	missing	missing	upregulated	1	1
CYP39A1	missing	missing	missing	upregulated	1	0
CYP46A1	downregulated	missing	missing	downregulated	0	2
CYP4F3	missing	missing	upregulated	missing	1	0
CYP4X1	missing	missing	upregulated	downregulated	1	1
CYRIA	downregulated	missing	missing	downregulated	0	2
CYS1	missing	missing	downregulated	missing	0	1
CYSRT1	missing	upregulated	missing	missing	1	0
CYTIP	upregulated	missing	missing	upregulated	2	0
CYYR1-AS1	missing	missing	missing	upregulated	1	0
CZ1P-ASNS	downregulated	missing	missing	downregulated	0	2
DAB1-AS1	missing	missing	missing	downregulated	0	1
DAB2IP	missing	missing	missing	upregulated	1	0
DACH2	downregulated	missing	missing	missing	0	1
DACT3-AS1	missing	missing	downregulated	missing	0	1
DAGLA	missing	missing	missing	downregulated	0	1
DAP-DT	downregulated	missing	missing	missing	0	1
DAW1	downregulated	missing	missing	missing	0	1
DAZAP1	missing	missing	missing	upregulated	1	0
DAZAP2	missing	missing	downregulated	missing	0	1
DBF4	missing	missing	upregulated	missing	1	0
DBN1	missing	missing	downregulated	missing	0	1
DCAF12	missing	missing	missing	upregulated	1	0
DCAF15	missing	missing	upregulated	missing	1	0
DCAKD	missing	missing	upregulated	missing	1	0
DCC	downregulated	missing	downregulated	missing	0	2
DCDC1	downregulated	missing	missing	missing	0	1
DCHS1	upregulated	missing	missing	missing	1	0
DCLK3	missing	missing	missing	downregulated	0	1
DCN	missing	missing	missing	upregulated	1	0
DCP2	missing	missing	upregulated	missing	1	0
DCSTAMP	downregulated	missing	missing	missing	0	1
DCTPP1	missing	missing	upregulated	missing	1	0
DCUN1D1	missing	missing	downregulated	missing	0	1
DCX	missing	missing	upregulated	missing	1	0
DDA1	missing	missing	upregulated	missing	1	0
DDAH2	missing	missing	downregulated	missing	0	1
DDIT4L-AS1	missing	missing	missing	upregulated	1	0
DDR1-DT	missing	missing	downregulated	missing	0	1
DDR2	missing	missing	missing	upregulated	1	0
DDTL	missing	missing	upregulated	missing	1	0
DDX1	downregulated	missing	missing	downregulated	0	2
DDX11	missing	missing	upregulated	missing	1	0
DDX17	missing	missing	missing	upregulated	1	0
DDX23	missing	missing	missing	upregulated	1	0
DDX24	downregulated	missing	missing	downregulated	0	2
DDX25	missing	missing	missing	downregulated	0	1
DDX28	missing	missing	missing	downregulated	0	1
DDX39A	missing	missing	missing	upregulated	1	0
DDX39B-AS1	missing	missing	missing	upregulated	1	0
DDX3Y	missing	downregulated	missing	missing	0	1
DDX41	downregulated	missing	missing	missing	0	1
DDX60L	upregulated	missing	missing	missing	1	0
DEAF1	upregulated	missing	downregulated	missing	1	1
DEGS2	missing	upregulated	upregulated	missing	2	0
DEK	missing	missing	missing	upregulated	1	0
DENND11	missing	missing	downregulated	missing	0	1
DENND2C	missing	upregulated	missing	missing	1	0
DENND3-AS1	upregulated	missing	missing	missing	1	0
DENND4B	upregulated	missing	missing	missing	1	0
DENND6B	missing	missing	missing	downregulated	0	1
DENR	missing	missing	upregulated	missing	1	0
DEPDC1-AS1	missing	missing	upregulated	missing	1	0
DEPDC1B	missing	missing	missing	upregulated	1	0
DEPDC4	missing	missing	upregulated	missing	1	0
DEPP1	upregulated	missing	missing	upregulated	2	0
DEPTOR-AS1	upregulated	missing	missing	missing	1	0
DES	missing	missing	downregulated	upregulated	1	1
DESI1	missing	missing	missing	upregulated	1	0
DGAT2-DT	downregulated	missing	missing	downregulated	0	2
DGCR6L	missing	missing	upregulated	missing	1	0
DGKB	downregulated	missing	missing	downregulated	0	2
DGKG	missing	missing	missing	downregulated	0	1
DGKH	downregulated	missing	missing	missing	0	1
DGKI	downregulated	missing	downregulated	downregulated	0	3
DGKQ	missing	missing	missing	downregulated	0	1
DGKZ	downregulated	missing	missing	downregulated	0	2
DGS2	missing	missing	upregulated	missing	1	0
DHDDS	missing	missing	missing	downregulated	0	1
DHFR	missing	missing	upregulated	missing	1	0
DHRS11	downregulated	missing	missing	downregulated	0	2
DHRS2	missing	downregulated	upregulated	downregulated	1	2
DHRS4L2	missing	missing	upregulated	missing	1	0
DHRS7B	missing	missing	missing	downregulated	0	1
DHX34	upregulated	missing	missing	missing	1	0
DHX57	missing	missing	missing	downregulated	0	1
DIAPH2-AS1	downregulated	missing	upregulated	missing	1	1
DIO2-AS1	downregulated	missing	upregulated	downregulated	1	2
DIP2A-IT1	upregulated	missing	missing	missing	1	0
DIP2B	upregulated	missing	missing	missing	1	0
DIPK1B	missing	missing	upregulated	downregulated	1	1
DIPK2B	upregulated	missing	missing	missing	1	0
DIRAS1	downregulated	missing	upregulated	downregulated	1	2
DIRAS2	missing	missing	missing	downregulated	0	1
DISP2	missing	missing	missing	downregulated	0	1
DKK3	missing	missing	upregulated	missing	1	0
DLEC1	missing	missing	missing	upregulated	1	0
DLEU1	missing	missing	missing	upregulated	1	0
DLEU7-AS1	missing	missing	missing	downregulated	0	1
DLG2-AS2	missing	missing	missing	downregulated	0	1
DLG3-AS1	downregulated	missing	missing	missing	0	1
DLGAP1-AS5	downregulated	missing	missing	downregulated	0	2
DLGAP2-AS1	missing	missing	missing	downregulated	0	1
DLGAP4-AS1	missing	missing	upregulated	missing	1	0
DLK1	missing	downregulated	missing	missing	0	1
DLK2	missing	missing	upregulated	downregulated	1	1
DLL1	missing	missing	missing	upregulated	1	0
DLL3	missing	missing	upregulated	missing	1	0
DLL4	upregulated	missing	missing	upregulated	2	0
DLX1	missing	missing	missing	downregulated	0	1
DLX6-AS1	missing	missing	missing	downregulated	0	1
DMD-AS3	missing	missing	upregulated	missing	1	0
DMRT3	downregulated	missing	missing	missing	0	1
DMWD	missing	missing	upregulated	missing	1	0
DMXL2	downregulated	missing	missing	downregulated	0	2
DNA2	upregulated	missing	missing	upregulated	2	0
DNAAF3-AS1	downregulated	missing	missing	missing	0	1
DNAAF5	missing	missing	downregulated	missing	0	1
DNAH10	downregulated	missing	missing	missing	0	1
DNAH11	downregulated	missing	missing	upregulated	1	1
DNAH12	downregulated	missing	downregulated	missing	0	2
DNAH14	missing	missing	downregulated	missing	0	1
DNAH2	downregulated	missing	missing	missing	0	1
DNAH5	downregulated	missing	upregulated	missing	1	1
DNAH6	downregulated	missing	upregulated	missing	1	1
DNAH8-DT	missing	missing	upregulated	missing	1	0
DNAH9	downregulated	missing	missing	missing	0	1
DNAI1	downregulated	missing	missing	missing	0	1
DNAI2	downregulated	missing	missing	missing	0	1
DNAI3	downregulated	downregulated	missing	missing	0	2
DNAJA2-DT	missing	missing	missing	downregulated	0	1
DNAJB1P2	upregulated	missing	missing	upregulated	2	0
DNAJB5-DT	missing	missing	upregulated	missing	1	0
DNAJC12	missing	missing	missing	downregulated	0	1
DNAJC21	missing	missing	missing	upregulated	1	0
DNAJC24	missing	missing	upregulated	missing	1	0
DNAJC25-GNG10	missing	missing	upregulated	missing	1	0
DNAJC28	missing	missing	downregulated	missing	0	1
DNAJC30	missing	missing	missing	downregulated	0	1
DNAJC5	missing	missing	missing	downregulated	0	1
DNAJC5G	downregulated	missing	missing	missing	0	1
DNAL4	downregulated	missing	upregulated	downregulated	1	2
DNALI1	missing	missing	upregulated	missing	1	0
DNASE1L2	missing	missing	missing	upregulated	1	0
DNASE2B	missing	missing	missing	upregulated	1	0
DNM1	downregulated	missing	missing	downregulated	0	2
DNM1L	downregulated	missing	missing	downregulated	0	2
DNM3-IT1	missing	missing	missing	downregulated	0	1
DNPH1	missing	missing	upregulated	missing	1	0
DOC2A	missing	missing	missing	downregulated	0	1
DOC2B	downregulated	missing	missing	downregulated	0	2
DOCK11	missing	missing	upregulated	missing	1	0
DOCK2	upregulated	missing	missing	missing	1	0
DOCK3	missing	missing	missing	downregulated	0	1
DOCK5	missing	missing	upregulated	missing	1	0
DOCK6-AS1	upregulated	missing	missing	upregulated	2	0
DOHH	missing	missing	downregulated	missing	0	1
DOK2	missing	missing	missing	upregulated	1	0
DOK6	downregulated	missing	missing	downregulated	0	2
DOLK	missing	missing	downregulated	downregulated	0	2
DOP1B	missing	missing	missing	downregulated	0	1
DOT1L	missing	missing	upregulated	missing	1	0
DPAGT1	missing	missing	upregulated	missing	1	0
DPCD	downregulated	missing	missing	missing	0	1
DPEP2	missing	missing	missing	upregulated	1	0
DPP4-DT	upregulated	upregulated	missing	missing	2	0
DPP6	downregulated	missing	missing	downregulated	0	2
DPP7	missing	missing	upregulated	missing	1	0
DPYD-IT1	missing	missing	missing	upregulated	1	0
DPYSL2	downregulated	missing	missing	missing	0	1
DPYSL4	missing	missing	missing	downregulated	0	1
DRAM1	missing	missing	missing	upregulated	1	0
DRAP1	missing	missing	upregulated	missing	1	0
DRAXIN	upregulated	missing	missing	missing	1	0
DRC12	downregulated	missing	missing	missing	0	1
DRC3	downregulated	missing	missing	missing	0	1
DRD1	downregulated	missing	missing	missing	0	1
DRD2	downregulated	missing	missing	missing	0	1
DRD5	downregulated	missing	missing	downregulated	0	2
DSCAS	upregulated	missing	missing	missing	1	0
DSE	missing	missing	missing	upregulated	1	0
DSG2-AS1	downregulated	missing	missing	missing	0	1
DST-AS1	missing	missing	upregulated	upregulated	2	0
DTD1-AS1	downregulated	missing	missing	downregulated	0	2
DTHD1	downregulated	downregulated	missing	upregulated	1	2
DTNB-AS1	missing	missing	missing	downregulated	0	1
DTWD1	missing	missing	upregulated	missing	1	0
DTX3L	upregulated	missing	missing	upregulated	2	0
DUS3L	missing	missing	upregulated	missing	1	0
DUS4L-BCAP29	missing	missing	upregulated	missing	1	0
DUSP12	missing	missing	missing	upregulated	1	0
DUSP19	missing	missing	upregulated	missing	1	0
DUSP3	missing	missing	upregulated	missing	1	0
DUSP4	downregulated	missing	missing	downregulated	0	2
DUSP5-DT	downregulated	missing	missing	missing	0	1
DUSP8	missing	missing	upregulated	missing	1	0
DYDC2	downregulated	missing	missing	missing	0	1
DYNC1I1	downregulated	missing	missing	downregulated	0	2
DYNC1LI2-DT	missing	missing	missing	upregulated	1	0
DYNC2H1	missing	missing	downregulated	missing	0	1
DYNC2I2	missing	missing	upregulated	missing	1	0
DYNC2LI1	downregulated	missing	missing	missing	0	1
DYNLT2B	missing	missing	downregulated	missing	0	1
DYNLT3	downregulated	missing	upregulated	missing	1	1
DYNLT5	downregulated	missing	missing	upregulated	1	1
DYRK1B	missing	missing	missing	downregulated	0	1
DYRK2	downregulated	missing	missing	missing	0	1
DYSF	upregulated	missing	missing	missing	1	0
DZIP3	missing	missing	missing	downregulated	0	1
E2F3-IT1	missing	missing	downregulated	missing	0	1
EBF1	missing	missing	missing	upregulated	1	0
EBI3	upregulated	missing	missing	missing	1	0
EBNA1BP2	missing	missing	missing	downregulated	0	1
ECE1-AS1	upregulated	missing	upregulated	missing	2	0
ECH1	missing	missing	upregulated	missing	1	0
ECHDC1	missing	missing	upregulated	missing	1	0
ECHDC3	downregulated	missing	missing	missing	0	1
ECM2	missing	missing	missing	upregulated	1	0
ECPAS	downregulated	missing	missing	missing	0	1
ECRG4	downregulated	missing	upregulated	missing	1	1
ECSIT	missing	missing	upregulated	missing	1	0
ECT2	missing	missing	downregulated	missing	0	1
EDF1	missing	missing	missing	downregulated	0	1
EDNRA	missing	upregulated	missing	missing	1	0
EEF1A2	downregulated	missing	missing	downregulated	0	2
EEF1AKMT2	missing	missing	upregulated	missing	1	0
EEF1AKMT3	missing	missing	upregulated	upregulated	2	0
EEF1B2	downregulated	missing	missing	missing	0	1
EEF2K	upregulated	missing	missing	missing	1	0
EEFSEC	missing	missing	upregulated	missing	1	0
EEIG1	missing	missing	upregulated	missing	1	0
EEIG2	missing	missing	missing	downregulated	0	1
EFCAB12	downregulated	missing	missing	missing	0	1
EFCAB5	missing	missing	upregulated	missing	1	0
EFCC1	downregulated	missing	missing	missing	0	1
EFHB	downregulated	missing	missing	missing	0	1
EFHC2	downregulated	missing	missing	missing	0	1
EFHD1	upregulated	missing	downregulated	upregulated	2	1
EFHD2-AS1	missing	missing	missing	downregulated	0	1
EFNA1	upregulated	missing	missing	missing	1	0
EFNA4-EFNA3	missing	missing	upregulated	downregulated	1	1
EFNB1	missing	missing	upregulated	missing	1	0
EFNB3	downregulated	missing	missing	downregulated	0	2
EFR3A	missing	missing	upregulated	missing	1	0
EFR3B	downregulated	missing	downregulated	missing	0	2
EGF	missing	missing	upregulated	upregulated	2	0
EGR1	downregulated	missing	upregulated	missing	1	1
EGR2	downregulated	downregulated	missing	missing	0	2
EGR3	downregulated	missing	upregulated	downregulated	1	2
EGR4	downregulated	missing	missing	downregulated	0	2
EHBP1L1	upregulated	missing	missing	upregulated	2	0
EHD2	upregulated	missing	missing	upregulated	2	0
EHD3	downregulated	missing	missing	downregulated	0	2
EID2	missing	missing	downregulated	downregulated	0	2
EID2B	missing	missing	missing	downregulated	0	1
EIF1AY	missing	downregulated	missing	missing	0	1
EIF2B3	missing	missing	missing	downregulated	0	1
EIF4E	missing	missing	upregulated	missing	1	0
EIF5A2	missing	missing	upregulated	missing	1	0
EIF5B	missing	missing	downregulated	missing	0	1
EIPR1	missing	missing	missing	downregulated	0	1
ELAPOR1	downregulated	missing	missing	downregulated	0	2
ELAPOR2	missing	missing	upregulated	missing	1	0
ELAVL2	missing	missing	missing	downregulated	0	1
ELAVL4-AS1	missing	missing	upregulated	downregulated	1	1
ELF2	missing	missing	missing	upregulated	1	0
ELFN2	missing	missing	upregulated	downregulated	1	1
ELK4	missing	missing	missing	upregulated	1	0
ELMOD1	downregulated	missing	missing	downregulated	0	2
ELMOD3	missing	missing	missing	upregulated	1	0
ELOB	missing	missing	upregulated	missing	1	0
ELOF1	upregulated	missing	missing	upregulated	2	0
ELOVL1	missing	missing	downregulated	missing	0	1
ELOVL4	downregulated	missing	downregulated	downregulated	0	3
ELOVL6	missing	missing	missing	downregulated	0	1
ELOVL7	missing	missing	missing	upregulated	1	0
EMC10	missing	missing	downregulated	missing	0	1
EMCN	missing	missing	missing	upregulated	1	0
EMICERI	upregulated	missing	missing	upregulated	2	0
EMILIN1	upregulated	missing	downregulated	missing	1	1
EMP1	upregulated	missing	missing	upregulated	2	0
EMP2	missing	missing	missing	upregulated	1	0
EMP3	upregulated	missing	missing	upregulated	2	0
EMSY	missing	missing	missing	upregulated	1	0
EMX1	missing	missing	missing	downregulated	0	1
EMX2OS	upregulated	missing	missing	missing	1	0
ENC1	downregulated	missing	missing	downregulated	0	2
ENGASE	upregulated	missing	missing	missing	1	0
ENO2	downregulated	missing	missing	downregulated	0	2
ENO4	downregulated	missing	missing	missing	0	1
ENOPH1	missing	missing	missing	downregulated	0	1
ENPEP	missing	missing	upregulated	missing	1	0
ENPP5	missing	missing	missing	downregulated	0	1
ENTHD1	missing	missing	downregulated	downregulated	0	2
ENTPD2	upregulated	missing	upregulated	missing	2	0
ENTPD3-AS1	missing	missing	missing	downregulated	0	1
ENTPD6	downregulated	missing	missing	downregulated	0	2
ENTR1	missing	missing	missing	upregulated	1	0
ENTREP2	downregulated	missing	missing	missing	0	1
EPAS1	missing	missing	missing	downregulated	0	1
EPB41	missing	missing	missing	upregulated	1	0
EPB41L1-AS1	missing	missing	downregulated	downregulated	0	2
EPB41L4B	missing	missing	missing	downregulated	0	1
EPCAM-DT	downregulated	missing	missing	downregulated	0	2
EPCIP	missing	missing	missing	upregulated	1	0
EPDR1	downregulated	missing	missing	downregulated	0	2
EPHA10	missing	missing	missing	downregulated	0	1
EPHA2-AS1	missing	missing	missing	upregulated	1	0
EPHA4	downregulated	missing	missing	downregulated	0	2
EPHA5-AS1	downregulated	missing	missing	downregulated	0	2
EPHA6	downregulated	missing	missing	downregulated	0	2
EPHA7	missing	missing	upregulated	downregulated	1	1
EPHA8	missing	missing	upregulated	missing	1	0
EPHB1	missing	missing	upregulated	missing	1	0
EPHB4	missing	missing	missing	upregulated	1	0
EPHB6	missing	missing	upregulated	downregulated	1	1
EPHX3	missing	missing	downregulated	missing	0	1
EPHX4	missing	missing	missing	downregulated	0	1
EPM2AIP1	missing	missing	downregulated	downregulated	0	2
EPOP	missing	missing	missing	downregulated	0	1
EPOR	missing	missing	upregulated	missing	1	0
EPS8	missing	missing	missing	upregulated	1	0
ERAP2	upregulated	missing	missing	missing	1	0
ERBB3	upregulated	missing	missing	missing	1	0
ERBIN	upregulated	missing	missing	upregulated	2	0
ERBIN-DT	missing	missing	upregulated	missing	1	0
ERC2-IT1	missing	missing	missing	downregulated	0	1
ERCC6L2-AS1	missing	missing	downregulated	missing	0	1
ERCC8-AS1	missing	missing	upregulated	missing	1	0
ERFE	missing	missing	missing	downregulated	0	1
ERFL	missing	missing	upregulated	missing	1	0
ERG	missing	missing	missing	upregulated	1	0
ERGIC2	missing	missing	upregulated	missing	1	0
ERI2	missing	missing	upregulated	missing	1	0
ERICH3	missing	missing	missing	downregulated	0	1
ERICH3-AS1	downregulated	missing	missing	missing	0	1
ERMN	missing	missing	upregulated	missing	1	0
ERO1A	missing	missing	upregulated	missing	1	0
ERO1B	missing	missing	upregulated	missing	1	0
ERV3-1-ZNF117	missing	missing	upregulated	missing	1	0
ESAM-AS1	upregulated	missing	missing	upregulated	2	0
ESCO2	missing	missing	downregulated	missing	0	1
ESRRG	missing	missing	upregulated	missing	1	0
ETF1	missing	missing	upregulated	missing	1	0
ETFA	missing	missing	missing	downregulated	0	1
ETFRF1	missing	missing	upregulated	missing	1	0
ETNK2	missing	missing	upregulated	missing	1	0
ETS1-AS1	missing	missing	missing	upregulated	1	0
ETV1	missing	missing	missing	downregulated	0	1
ETV6	upregulated	missing	missing	missing	1	0
EVA1B	missing	missing	missing	upregulated	1	0
EVC	missing	missing	downregulated	missing	0	1
EVC2	missing	missing	upregulated	upregulated	2	0
EVL	missing	missing	missing	upregulated	1	0
EVPL	missing	missing	missing	downregulated	0	1
EXOC3-AS1	missing	missing	missing	downregulated	0	1
EXOC3L1	missing	missing	upregulated	downregulated	1	1
EXOC6	downregulated	missing	upregulated	downregulated	1	2
EXOG	missing	missing	downregulated	missing	0	1
EXOSC4	missing	missing	upregulated	missing	1	0
EXPH5	missing	missing	missing	upregulated	1	0
EXTL1	downregulated	missing	missing	downregulated	0	2
EYA1	downregulated	missing	missing	missing	0	1
EYA4	downregulated	missing	missing	missing	0	1
EZHIP	missing	missing	upregulated	missing	1	0
F11R	missing	missing	missing	upregulated	1	0
F13A1	upregulated	downregulated	missing	missing	1	1
F2RL1	downregulated	missing	missing	missing	0	1
F2RL3	missing	missing	missing	upregulated	1	0
F5	downregulated	missing	missing	upregulated	1	1
F7	missing	missing	missing	downregulated	0	1
FA2H	missing	missing	upregulated	missing	1	0
FAAH2	missing	missing	upregulated	missing	1	0
FABP3	downregulated	missing	missing	downregulated	0	2
FABP4	downregulated	missing	missing	missing	0	1
FABP5	downregulated	missing	missing	missing	0	1
FABP7	missing	missing	downregulated	missing	0	1
FADS1	missing	missing	missing	downregulated	0	1
FAIM2	missing	missing	missing	downregulated	0	1
FAM107A	upregulated	missing	missing	missing	1	0
FAM107B	missing	missing	upregulated	missing	1	0
FAM110A	missing	missing	downregulated	upregulated	1	1
FAM110B	missing	missing	missing	downregulated	0	1
FAM110D	missing	missing	missing	upregulated	1	0
FAM111A	missing	missing	missing	upregulated	1	0
FAM117A	downregulated	missing	missing	missing	0	1
FAM131A	downregulated	missing	missing	downregulated	0	2
FAM133A	missing	missing	upregulated	missing	1	0
FAM135A-AS1	missing	missing	downregulated	missing	0	1
FAM161A	missing	missing	upregulated	missing	1	0
FAM161B	missing	missing	missing	downregulated	0	1
FAM162A	downregulated	missing	missing	downregulated	0	2
FAM163A	missing	missing	missing	downregulated	0	1
FAM163B	missing	missing	upregulated	downregulated	1	1
FAM167A-AS1	upregulated	missing	missing	missing	1	0
FAM167B	upregulated	missing	missing	upregulated	2	0
FAM171A2	missing	missing	missing	downregulated	0	1
FAM174A-DT	missing	missing	missing	downregulated	0	1
FAM174B	missing	missing	missing	downregulated	0	1
FAM174C	missing	missing	upregulated	missing	1	0
FAM177A1	missing	missing	upregulated	missing	1	0
FAM181A-AS1	missing	missing	upregulated	missing	1	0
FAM186B	missing	missing	downregulated	missing	0	1
FAM187A	missing	missing	upregulated	missing	1	0
FAM204A	missing	missing	downregulated	missing	0	1
FAM20C	upregulated	missing	missing	missing	1	0
FAM216A	missing	missing	missing	downregulated	0	1
FAM216B	downregulated	missing	missing	missing	0	1
FAM222A-AS1	upregulated	missing	downregulated	missing	1	1
FAM227B	missing	missing	upregulated	missing	1	0
FAM229A	missing	missing	missing	upregulated	1	0
FAM234B	downregulated	missing	missing	downregulated	0	2
FAM241B	downregulated	missing	missing	downregulated	0	2
FAM24B-CUZD1	missing	missing	upregulated	upregulated	2	0
FAM3A	downregulated	missing	missing	downregulated	0	2
FAM3B	downregulated	missing	missing	missing	0	1
FAM3C	downregulated	missing	missing	downregulated	0	2
FAM43B	missing	missing	upregulated	missing	1	0
FAM47C	missing	missing	downregulated	missing	0	1
FAM47E-STBD1	missing	missing	upregulated	missing	1	0
FAM53B-AS1	upregulated	missing	missing	missing	1	0
FAM76B	missing	missing	missing	upregulated	1	0
FAM81A	downregulated	missing	missing	downregulated	0	2
FAM81B	downregulated	upregulated	missing	upregulated	2	1
FAM83F	missing	missing	downregulated	missing	0	1
FAM83H	missing	missing	upregulated	missing	1	0
FAM89A	missing	missing	missing	upregulated	1	0
FAM95C	upregulated	missing	missing	missing	1	0
FAM98B	missing	missing	downregulated	missing	0	1
FANCB	upregulated	missing	missing	missing	1	0
FANCC	upregulated	missing	missing	upregulated	2	0
FANCE	missing	missing	missing	upregulated	1	0
FANK1-AS1	downregulated	missing	missing	missing	0	1
FAR1	missing	missing	downregulated	missing	0	1
FAR2	downregulated	missing	missing	downregulated	0	2
FARSA-AS1	downregulated	missing	missing	downregulated	0	2
FARSB	downregulated	missing	missing	downregulated	0	2
FASTKD1	missing	missing	upregulated	missing	1	0
FASTKD2	missing	missing	upregulated	missing	1	0
FAT2	missing	missing	upregulated	missing	1	0
FAT3	missing	missing	missing	downregulated	0	1
FAT4	missing	missing	upregulated	missing	1	0
FAXC	missing	missing	missing	downregulated	0	1
FBL	missing	missing	upregulated	missing	1	0
FBLIM1	missing	missing	missing	upregulated	1	0
FBLL1	missing	missing	missing	downregulated	0	1
FBLN2	missing	missing	upregulated	missing	1	0
FBLN7	missing	missing	missing	downregulated	0	1
FBXL14	missing	missing	upregulated	missing	1	0
FBXL16	missing	missing	missing	downregulated	0	1
FBXL19-AS1	missing	missing	downregulated	missing	0	1
FBXL2	downregulated	missing	missing	downregulated	0	2
FBXL4	missing	missing	missing	upregulated	1	0
FBXO16	missing	missing	missing	downregulated	0	1
FBXO21	missing	missing	missing	downregulated	0	1
FBXO32	missing	missing	missing	upregulated	1	0
FBXO34-AS1	downregulated	missing	missing	missing	0	1
FBXO4	missing	missing	upregulated	missing	1	0
FBXO41	missing	missing	missing	downregulated	0	1
FBXO5	missing	missing	missing	upregulated	1	0
FBXO6	missing	missing	upregulated	missing	1	0
FBXW7-AS1	missing	missing	missing	downregulated	0	1
FCER1G	upregulated	missing	upregulated	missing	2	0
FCGBP	upregulated	missing	missing	missing	1	0
FCGR1BP	upregulated	missing	missing	missing	1	0
FCGR1CP	upregulated	missing	missing	missing	1	0
FCGR2A	upregulated	missing	missing	missing	1	0
FCGR2B	upregulated	missing	missing	upregulated	2	0
FCGR3A	upregulated	missing	missing	missing	1	0
FCGR3B	missing	missing	upregulated	missing	1	0
FCN3	downregulated	missing	missing	missing	0	1
FCRLA	missing	missing	missing	downregulated	0	1
FEN1	missing	missing	missing	downregulated	0	1
FENDRR	upregulated	missing	missing	upregulated	2	0
FES	upregulated	missing	missing	upregulated	2	0
FEZF2	missing	missing	missing	downregulated	0	1
FFAR4	missing	missing	missing	downregulated	0	1
FGD1	downregulated	missing	missing	missing	0	1
FGD5-AS1	missing	missing	missing	upregulated	1	0
FGF10-INT1	missing	upregulated	missing	missing	1	0
FGF12-AS3	missing	missing	missing	downregulated	0	1
FGF13	downregulated	missing	missing	missing	0	1
FGF13-AS1	downregulated	missing	missing	missing	0	1
FGF14-IT1	missing	missing	upregulated	downregulated	1	1
FGF17	upregulated	missing	missing	missing	1	0
FGF20	missing	missing	downregulated	missing	0	1
FGF7	missing	missing	downregulated	missing	0	1
FGF9	missing	missing	missing	downregulated	0	1
FGFRL1	upregulated	missing	missing	missing	1	0
FGL2	upregulated	missing	missing	missing	1	0
FGR	upregulated	missing	missing	upregulated	2	0
FHAD1-AS1	downregulated	missing	missing	missing	0	1
FHDC1	missing	missing	missing	upregulated	1	0
FHIP1A	downregulated	upregulated	missing	missing	1	1
FHL2	downregulated	missing	downregulated	missing	0	2
FIBCD1-AS1	downregulated	missing	missing	missing	0	1
FIBIN	missing	missing	downregulated	missing	0	1
FIBP	downregulated	missing	missing	downregulated	0	2
FIG4	missing	missing	missing	downregulated	0	1
FIGN	missing	missing	missing	upregulated	1	0
FIGNL2-DT	missing	missing	downregulated	missing	0	1
FILIP1	downregulated	missing	upregulated	missing	1	1
FIRRM	missing	missing	upregulated	missing	1	0
FIZ1	missing	missing	missing	upregulated	1	0
FJX1	missing	missing	upregulated	missing	1	0
FKBP1B	downregulated	missing	missing	downregulated	0	2
FKBP2	missing	missing	upregulated	missing	1	0
FKBP3	missing	missing	downregulated	downregulated	0	2
FKBP4	missing	missing	missing	upregulated	1	0
FKBP5	upregulated	missing	missing	missing	1	0
FKRP	missing	missing	downregulated	missing	0	1
FLCN	missing	missing	missing	upregulated	1	0
FLII	upregulated	missing	missing	upregulated	2	0
FLNC-AS1	missing	missing	upregulated	missing	1	0
FLRT1	missing	missing	downregulated	missing	0	1
FLRT3	missing	missing	missing	downregulated	0	1
FLT1	upregulated	missing	missing	upregulated	2	0
FLT3	missing	missing	upregulated	missing	1	0
FLT3LG	missing	missing	upregulated	missing	1	0
FLT4	missing	missing	upregulated	upregulated	2	0
FLVCR2-AS1	missing	missing	missing	upregulated	1	0
FLYWCH1	missing	missing	upregulated	missing	1	0
FMN1	upregulated	missing	missing	missing	1	0
FMNL1-DT	missing	missing	upregulated	downregulated	1	1
FMNL2	missing	missing	missing	upregulated	1	0
FMNL3	upregulated	missing	missing	downregulated	1	1
FMO3	missing	missing	downregulated	upregulated	1	1
FMO4	missing	missing	missing	upregulated	1	0
FMO5	missing	missing	downregulated	missing	0	1
FMOD	missing	missing	upregulated	upregulated	2	0
FN1-DT	missing	missing	missing	upregulated	1	0
FNBP1	upregulated	missing	missing	missing	1	0
FNDC1-AS1	downregulated	downregulated	missing	missing	0	2
FNDC10	missing	missing	missing	downregulated	0	1
FNDC5	downregulated	missing	missing	downregulated	0	2
FNIP1	missing	missing	downregulated	missing	0	1
FOCAD-AS1	downregulated	missing	missing	downregulated	0	2
FOLR1	downregulated	missing	missing	missing	0	1
FOLR2	missing	missing	upregulated	missing	1	0
FOS	missing	missing	missing	upregulated	1	0
