gene_symbol,gene_id,is_upregulated_in_AD,brain_region,study,quality_assessment
ANKRD40,NA,TRUE,superior temporal gyrus ,Das et al.,2
MAP7D1,NA,TRUE,superior temporal gyrus ,Das et al.,2
PLOD1,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZGPAT,NA,TRUE,superior temporal gyrus ,Das et al.,2
C7orf61,NA,TRUE,superior temporal gyrus ,Das et al.,2
PHF12,NA,TRUE,superior temporal gyrus ,Das et al.,2
FAM118A,NA,TRUE,superior temporal gyrus ,Das et al.,2
LFNG,NA,TRUE,superior temporal gyrus ,Das et al.,2
CEP131,NA,TRUE,superior temporal gyrus ,Das et al.,2
PRKD2,NA,TRUE,superior temporal gyrus ,Das et al.,2
EEF1D,NA,TRUE,superior temporal gyrus ,Das et al.,2
ITGA10,NA,TRUE,superior temporal gyrus ,Das et al.,2
UPF2,NA,TRUE,superior temporal gyrus ,Das et al.,2
SFXN2,NA,TRUE,superior temporal gyrus ,Das et al.,2
DPP9,NA,TRUE,superior temporal gyrus ,Das et al.,2
LINC01561,NA,TRUE,superior temporal gyrus ,Das et al.,2
TIAF1,NA,TRUE,superior temporal gyrus ,Das et al.,2
SAMHD1,NA,TRUE,superior temporal gyrus ,Das et al.,2
OGFR,NA,TRUE,superior temporal gyrus ,Das et al.,2
ACTL6A,NA,TRUE,superior temporal gyrus ,Das et al.,2
PLIN4,NA,TRUE,superior temporal gyrus ,Das et al.,2
RBBP6,NA,TRUE,superior temporal gyrus ,Das et al.,2
CC2D1B,NA,TRUE,superior temporal gyrus ,Das et al.,2
KMT2B,NA,TRUE,superior temporal gyrus ,Das et al.,2
HNRNPH3,NA,TRUE,superior temporal gyrus ,Das et al.,2
TUT4,NA,TRUE,superior temporal gyrus ,Das et al.,2
DVL1,NA,TRUE,superior temporal gyrus ,Das et al.,2
C15orf62,NA,TRUE,superior temporal gyrus ,Das et al.,2
ST6GALNAC4,NA,TRUE,superior temporal gyrus ,Das et al.,2
SUN2,NA,TRUE,superior temporal gyrus ,Das et al.,2
GDPD3,NA,TRUE,superior temporal gyrus ,Das et al.,2
NFATC3,NA,TRUE,superior temporal gyrus ,Das et al.,2
PPP1R14B,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF362,NA,TRUE,superior temporal gyrus ,Das et al.,2
SRF,NA,TRUE,superior temporal gyrus ,Das et al.,2
C3orf62,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF652,NA,TRUE,superior temporal gyrus ,Das et al.,2
HEBP2,NA,TRUE,superior temporal gyrus ,Das et al.,2
KSR1,NA,TRUE,superior temporal gyrus ,Das et al.,2
RIPOR3,NA,TRUE,superior temporal gyrus ,Das et al.,2
NFKBIA,NA,TRUE,superior temporal gyrus ,Das et al.,2
AC004233.2,NA,TRUE,superior temporal gyrus ,Das et al.,2
ADAMTS10,NA,TRUE,superior temporal gyrus ,Das et al.,2
BOP1,NA,TRUE,superior temporal gyrus ,Das et al.,2
GIT1,NA,TRUE,superior temporal gyrus ,Das et al.,2
PCAT19,NA,TRUE,superior temporal gyrus ,Das et al.,2
KHNYN,NA,TRUE,superior temporal gyrus ,Das et al.,2
DENND4B,NA,TRUE,superior temporal gyrus ,Das et al.,2
FBXO46,NA,TRUE,superior temporal gyrus ,Das et al.,2
JUND,NA,TRUE,superior temporal gyrus ,Das et al.,2
ATF7,NA,TRUE,superior temporal gyrus ,Das et al.,2
CRYAB,NA,TRUE,superior temporal gyrus ,Das et al.,2
NWD1,NA,TRUE,superior temporal gyrus ,Das et al.,2
GGCX,NA,TRUE,superior temporal gyrus ,Das et al.,2
MBD3,NA,TRUE,superior temporal gyrus ,Das et al.,2
ARL6IP6,NA,TRUE,superior temporal gyrus ,Das et al.,2
NPNT,NA,TRUE,superior temporal gyrus ,Das et al.,2
CFAP100,NA,TRUE,superior temporal gyrus ,Das et al.,2
ALOX12,NA,TRUE,superior temporal gyrus ,Das et al.,2
CEP89,NA,TRUE,superior temporal gyrus ,Das et al.,2
NCOR2,NA,TRUE,superior temporal gyrus ,Das et al.,2
COBL,NA,TRUE,superior temporal gyrus ,Das et al.,2
NFKB2,NA,TRUE,superior temporal gyrus ,Das et al.,2
PALM3,NA,TRUE,superior temporal gyrus ,Das et al.,2
MAML1,NA,TRUE,superior temporal gyrus ,Das et al.,2
LATS2,NA,TRUE,superior temporal gyrus ,Das et al.,2
C5AR1,NA,TRUE,superior temporal gyrus ,Das et al.,2
FCHSD2,NA,TRUE,superior temporal gyrus ,Das et al.,2
SH3PXD2B,NA,TRUE,superior temporal gyrus ,Das et al.,2
SPTBN5,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF688,NA,TRUE,superior temporal gyrus ,Das et al.,2
PRMT2,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZMYND10,NA,TRUE,superior temporal gyrus ,Das et al.,2
LATS1,NA,TRUE,superior temporal gyrus ,Das et al.,2
DDX56,NA,TRUE,superior temporal gyrus ,Das et al.,2
AC091196.1,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZBTB46,NA,TRUE,superior temporal gyrus ,Das et al.,2
CHST12,NA,TRUE,superior temporal gyrus ,Das et al.,2
RASGRP4,NA,TRUE,superior temporal gyrus ,Das et al.,2
SLC35F2,NA,TRUE,superior temporal gyrus ,Das et al.,2
PHC3,NA,TRUE,superior temporal gyrus ,Das et al.,2
FOXN3,NA,TRUE,superior temporal gyrus ,Das et al.,2
CLDN15,NA,TRUE,superior temporal gyrus ,Das et al.,2
MLLT1,NA,TRUE,superior temporal gyrus ,Das et al.,2
ARAP1,NA,TRUE,superior temporal gyrus ,Das et al.,2
IFT140,NA,TRUE,superior temporal gyrus ,Das et al.,2
RFX1,NA,TRUE,superior temporal gyrus ,Das et al.,2
JDP2,NA,TRUE,superior temporal gyrus ,Das et al.,2
NFYA,NA,TRUE,superior temporal gyrus ,Das et al.,2
ATF4,NA,TRUE,superior temporal gyrus ,Das et al.,2
SLC39A11,NA,TRUE,superior temporal gyrus ,Das et al.,2
ISYNA1,NA,TRUE,superior temporal gyrus ,Das et al.,2
IKBKB,NA,TRUE,superior temporal gyrus ,Das et al.,2
DNASE1,NA,TRUE,superior temporal gyrus ,Das et al.,2
CEP104,NA,TRUE,superior temporal gyrus ,Das et al.,2
AL355974.2,NA,TRUE,superior temporal gyrus ,Das et al.,2
NOL12,NA,TRUE,superior temporal gyrus ,Das et al.,2
SLC35E3,NA,TRUE,superior temporal gyrus ,Das et al.,2
TRIM4,NA,TRUE,superior temporal gyrus ,Das et al.,2
AC020907.1,NA,TRUE,superior temporal gyrus ,Das et al.,2
DDRGK1,NA,TRUE,superior temporal gyrus ,Das et al.,2
PACS2,NA,TRUE,superior temporal gyrus ,Das et al.,2
AC055713.1,NA,TRUE,superior temporal gyrus ,Das et al.,2
REPIN1,NA,TRUE,superior temporal gyrus ,Das et al.,2
TMEM8A,NA,TRUE,superior temporal gyrus ,Das et al.,2
STK32A,NA,TRUE,superior temporal gyrus ,Das et al.,2
PTPN12,NA,TRUE,superior temporal gyrus ,Das et al.,2
PAPOLA,NA,TRUE,superior temporal gyrus ,Das et al.,2
KTN1,NA,TRUE,superior temporal gyrus ,Das et al.,2
SPEG,NA,TRUE,superior temporal gyrus ,Das et al.,2
CBFB,NA,TRUE,superior temporal gyrus ,Das et al.,2
CEP295NL,NA,TRUE,superior temporal gyrus ,Das et al.,2
POGK,NA,TRUE,superior temporal gyrus ,Das et al.,2
ARID3A,NA,TRUE,superior temporal gyrus ,Das et al.,2
SRPK3,NA,TRUE,superior temporal gyrus ,Das et al.,2
JMJD6,NA,TRUE,superior temporal gyrus ,Das et al.,2
HVCN1,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZCCHC14,NA,TRUE,superior temporal gyrus ,Das et al.,2
MAZ,NA,TRUE,superior temporal gyrus ,Das et al.,2
DOK7,NA,TRUE,superior temporal gyrus ,Das et al.,2
RGL3,NA,TRUE,superior temporal gyrus ,Das et al.,2
INO80D,NA,TRUE,superior temporal gyrus ,Das et al.,2
ARRDC2,NA,TRUE,superior temporal gyrus ,Das et al.,2
RGS5,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZC3H18,NA,TRUE,superior temporal gyrus ,Das et al.,2
SMAD4,NA,TRUE,superior temporal gyrus ,Das et al.,2
TOB2,NA,TRUE,superior temporal gyrus ,Das et al.,2
BRD3,NA,TRUE,superior temporal gyrus ,Das et al.,2
LINC01567,NA,TRUE,superior temporal gyrus ,Das et al.,2
INPPL1,NA,TRUE,superior temporal gyrus ,Das et al.,2
CDK2AP1,NA,TRUE,superior temporal gyrus ,Das et al.,2
CALD1,NA,TRUE,superior temporal gyrus ,Das et al.,2
WIZ,NA,TRUE,superior temporal gyrus ,Das et al.,2
BAZ1B,NA,TRUE,superior temporal gyrus ,Das et al.,2
CCDC9,NA,TRUE,superior temporal gyrus ,Das et al.,2
CLK3,NA,TRUE,superior temporal gyrus ,Das et al.,2
TRAF2,NA,TRUE,superior temporal gyrus ,Das et al.,2
SKI,NA,TRUE,superior temporal gyrus ,Das et al.,2
CIC,NA,TRUE,superior temporal gyrus ,Das et al.,2
DACT3,NA,TRUE,superior temporal gyrus ,Das et al.,2
HIST1H2AC,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF646,NA,TRUE,superior temporal gyrus ,Das et al.,2
NEXN,NA,TRUE,superior temporal gyrus ,Das et al.,2
SLC6A12,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF446,NA,TRUE,superior temporal gyrus ,Das et al.,2
DOT1L,NA,TRUE,superior temporal gyrus ,Das et al.,2
S100A4,NA,TRUE,superior temporal gyrus ,Das et al.,2
MKNK2,NA,TRUE,superior temporal gyrus ,Das et al.,2
HP,NA,TRUE,superior temporal gyrus ,Das et al.,2
EPPK1,NA,TRUE,superior temporal gyrus ,Das et al.,2
AC009120.3,NA,TRUE,superior temporal gyrus ,Das et al.,2
C9orf84,NA,TRUE,superior temporal gyrus ,Das et al.,2
SFSWAP,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZBTB7B,NA,TRUE,superior temporal gyrus ,Das et al.,2
MAP4K1,NA,TRUE,superior temporal gyrus ,Das et al.,2
KAT6A,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZBTB16,NA,TRUE,superior temporal gyrus ,Das et al.,2
TPM2,NA,TRUE,superior temporal gyrus ,Das et al.,2
IL32,NA,TRUE,superior temporal gyrus ,Das et al.,2
CDK5RAP2,NA,TRUE,superior temporal gyrus ,Das et al.,2
SCRIB,NA,TRUE,superior temporal gyrus ,Das et al.,2
KANK2,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF358,NA,TRUE,superior temporal gyrus ,Das et al.,2
HIRIP3,NA,TRUE,superior temporal gyrus ,Das et al.,2
GTF2IRD2B,NA,TRUE,superior temporal gyrus ,Das et al.,2
BTBD7,NA,TRUE,superior temporal gyrus ,Das et al.,2
CGN,NA,TRUE,superior temporal gyrus ,Das et al.,2
PHF10,NA,TRUE,superior temporal gyrus ,Das et al.,2
AC011815.2,NA,TRUE,superior temporal gyrus ,Das et al.,2
PRIMPOL,NA,TRUE,superior temporal gyrus ,Das et al.,2
AP5B1,NA,TRUE,superior temporal gyrus ,Das et al.,2
DEK,NA,TRUE,superior temporal gyrus ,Das et al.,2
MPRIP,NA,TRUE,superior temporal gyrus ,Das et al.,2
DIO3OS,NA,TRUE,superior temporal gyrus ,Das et al.,2
STARD10,NA,TRUE,superior temporal gyrus ,Das et al.,2
DFFB,NA,TRUE,superior temporal gyrus ,Das et al.,2
TNS1,NA,TRUE,superior temporal gyrus ,Das et al.,2
MXD4,NA,TRUE,superior temporal gyrus ,Das et al.,2
TCEA3,NA,TRUE,superior temporal gyrus ,Das et al.,2
CCDC159,NA,TRUE,superior temporal gyrus ,Das et al.,2
TIGD5,NA,TRUE,superior temporal gyrus ,Das et al.,2
TRABD,NA,TRUE,superior temporal gyrus ,Das et al.,2
AL590004.3,NA,TRUE,superior temporal gyrus ,Das et al.,2
AJM1,NA,TRUE,superior temporal gyrus ,Das et al.,2
SMG6,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF768,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF500,NA,TRUE,superior temporal gyrus ,Das et al.,2
LTBP3,NA,TRUE,superior temporal gyrus ,Das et al.,2
TNRC18,NA,TRUE,superior temporal gyrus ,Das et al.,2
ZNF467,NA,TRUE,superior temporal gyrus ,Das et al.,2
MCRIP2,NA,TRUE,superior temporal gyrus ,Das et al.,2
TNFRSF10D,NA,TRUE,superior temporal gyrus ,Das et al.,2
GPR108,NA,TRUE,superior temporal gyrus ,Das et al.,2
CLCN7,NA,TRUE,superior temporal gyrus ,Das et al.,2
C6orf118,NA,TRUE,superior temporal gyrus ,Das et al.,2
ANKS1A,NA,TRUE,superior temporal gyrus ,Das et al.,2
WSCD1,NA,TRUE,superior temporal gyrus ,Das et al.,2
SLC6A16,NA,TRUE,superior temporal gyrus ,Das et al.,2
HSD3B7,NA,TRUE,superior temporal gyrus ,Das et al.,2
SLC12A7,NA,TRUE,superior temporal gyrus ,Das et al.,2
TTLL9,NA,TRUE,superior temporal gyrus ,Das et al.,2
ADGRG2,NA,TRUE,superior temporal gyrus ,Das et al.,2
TBX18,NA,TRUE,superior temporal gyrus ,Das et al.,2
MSL1,NA,TRUE,superior temporal gyrus ,Das et al.,2
TP53I3,NA,TRUE,superior temporal gyrus ,Das et al.,2
DGKD,NA,TRUE,superior temporal gyrus ,Das et al.,2
IL18R1,NA,TRUE,superior temporal gyrus ,Das et al.,2
CHD1,NA,TRUE,superior temporal gyrus ,Das et al.,2
PHETA1,NA,TRUE,superior temporal gyrus ,Das et al.,2
GSAP,NA,FALSE,superior temporal gyrus ,Das et al.,2
IDI1,NA,FALSE,superior temporal gyrus ,Das et al.,2
SUSD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
ZFP37,NA,FALSE,superior temporal gyrus ,Das et al.,2
WRB,NA,FALSE,superior temporal gyrus ,Das et al.,2
ACAT2,NA,FALSE,superior temporal gyrus ,Das et al.,2
VAMP4,NA,FALSE,superior temporal gyrus ,Das et al.,2
ATP6V1G1,NA,FALSE,superior temporal gyrus ,Das et al.,2
ACTG1,NA,FALSE,superior temporal gyrus ,Das et al.,2
DDB1,NA,FALSE,superior temporal gyrus ,Das et al.,2
VCP,NA,FALSE,superior temporal gyrus ,Das et al.,2
WDR77,NA,FALSE,superior temporal gyrus ,Das et al.,2
CDC123,NA,FALSE,superior temporal gyrus ,Das et al.,2
RAB4B,NA,FALSE,superior temporal gyrus ,Das et al.,2
SMIM24,NA,FALSE,superior temporal gyrus ,Das et al.,2
SAPCD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
CYC1,NA,FALSE,superior temporal gyrus ,Das et al.,2
WARS,NA,FALSE,superior temporal gyrus ,Das et al.,2
RAB11A,NA,FALSE,superior temporal gyrus ,Das et al.,2
STAT1,NA,FALSE,superior temporal gyrus ,Das et al.,2
GPR3,NA,FALSE,superior temporal gyrus ,Das et al.,2
HPF1,NA,FALSE,superior temporal gyrus ,Das et al.,2
SPG7,NA,FALSE,superior temporal gyrus ,Das et al.,2
GPCPD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
ARF5,NA,FALSE,superior temporal gyrus ,Das et al.,2
HMGCS1,NA,FALSE,superior temporal gyrus ,Das et al.,2
RDH11,NA,FALSE,superior temporal gyrus ,Das et al.,2
PPT1,NA,FALSE,superior temporal gyrus ,Das et al.,2
OR2M3,NA,FALSE,superior temporal gyrus ,Das et al.,2
TCTEX1D1,NA,FALSE,superior temporal gyrus ,Das et al.,2
LNPK,NA,FALSE,superior temporal gyrus ,Das et al.,2
SCFD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
NIPSNAP1,NA,FALSE,superior temporal gyrus ,Das et al.,2
STOML1,NA,FALSE,superior temporal gyrus ,Das et al.,2
DLD,NA,FALSE,superior temporal gyrus ,Das et al.,2
GALNT11,NA,FALSE,superior temporal gyrus ,Das et al.,2
USP5,NA,FALSE,superior temporal gyrus ,Das et al.,2
TM7SF2,NA,FALSE,superior temporal gyrus ,Das et al.,2
C15orf61,NA,FALSE,superior temporal gyrus ,Das et al.,2
EPHA3,NA,FALSE,superior temporal gyrus ,Das et al.,2
MRPL32,NA,FALSE,superior temporal gyrus ,Das et al.,2
APLP2,NA,FALSE,superior temporal gyrus ,Das et al.,2
TXNDC9,NA,FALSE,superior temporal gyrus ,Das et al.,2
PAM,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMA5,NA,FALSE,superior temporal gyrus ,Das et al.,2
ALG5,NA,FALSE,superior temporal gyrus ,Das et al.,2
NUP43,NA,FALSE,superior temporal gyrus ,Das et al.,2
NRSN2,NA,FALSE,superior temporal gyrus ,Das et al.,2
PLAGL1,NA,FALSE,superior temporal gyrus ,Das et al.,2
AC092747.4,NA,FALSE,superior temporal gyrus ,Das et al.,2
SUCLG1,NA,FALSE,superior temporal gyrus ,Das et al.,2
CHCHD2,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMD14,NA,FALSE,superior temporal gyrus ,Das et al.,2
ACTR2,NA,FALSE,superior temporal gyrus ,Das et al.,2
CPLX1,NA,FALSE,superior temporal gyrus ,Das et al.,2
MBTPS2,NA,FALSE,superior temporal gyrus ,Das et al.,2
ATP5F1A,NA,FALSE,superior temporal gyrus ,Das et al.,2
SELENOT,NA,FALSE,superior temporal gyrus ,Das et al.,2
HIST1H2AE,NA,FALSE,superior temporal gyrus ,Das et al.,2
TBC1D9,NA,FALSE,superior temporal gyrus ,Das et al.,2
CD99L2,NA,FALSE,superior temporal gyrus ,Das et al.,2
KYAT3,NA,FALSE,superior temporal gyrus ,Das et al.,2
CRY2,NA,FALSE,superior temporal gyrus ,Das et al.,2
COPS3,NA,FALSE,superior temporal gyrus ,Das et al.,2
ABHD10,NA,FALSE,superior temporal gyrus ,Das et al.,2
ARL4D,NA,FALSE,superior temporal gyrus ,Das et al.,2
ACLY,NA,FALSE,superior temporal gyrus ,Das et al.,2
GHITM,NA,FALSE,superior temporal gyrus ,Das et al.,2
NDUFC2,NA,FALSE,superior temporal gyrus ,Das et al.,2
PPP1R2,NA,FALSE,superior temporal gyrus ,Das et al.,2
F3,NA,FALSE,superior temporal gyrus ,Das et al.,2
ANAPC13,NA,FALSE,superior temporal gyrus ,Das et al.,2
PWP1,NA,FALSE,superior temporal gyrus ,Das et al.,2
LINC02427,NA,FALSE,superior temporal gyrus ,Das et al.,2
GREM2,NA,FALSE,superior temporal gyrus ,Das et al.,2
BPNT1,NA,FALSE,superior temporal gyrus ,Das et al.,2
PKM,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMA4,NA,FALSE,superior temporal gyrus ,Das et al.,2
RRM1,NA,FALSE,superior temporal gyrus ,Das et al.,2
MORN3,NA,FALSE,superior temporal gyrus ,Das et al.,2
VPS11,NA,FALSE,superior temporal gyrus ,Das et al.,2
SCN11A,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMA6,NA,FALSE,superior temporal gyrus ,Das et al.,2
SPINT2,NA,FALSE,superior temporal gyrus ,Das et al.,2
TMEM150C,NA,FALSE,superior temporal gyrus ,Das et al.,2
HK1,NA,FALSE,superior temporal gyrus ,Das et al.,2
GAD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
SNRPB,NA,FALSE,superior temporal gyrus ,Das et al.,2
TIMM17A,NA,FALSE,superior temporal gyrus ,Das et al.,2
VGF,NA,FALSE,superior temporal gyrus ,Das et al.,2
PNKD,NA,FALSE,superior temporal gyrus ,Das et al.,2
SGTB,NA,FALSE,superior temporal gyrus ,Das et al.,2
DNAJC10,NA,FALSE,superior temporal gyrus ,Das et al.,2
STXBP6,NA,FALSE,superior temporal gyrus ,Das et al.,2
OSTF1,NA,FALSE,superior temporal gyrus ,Das et al.,2
MRPS23,NA,FALSE,superior temporal gyrus ,Das et al.,2
MRPL9,NA,FALSE,superior temporal gyrus ,Das et al.,2
MRPS36,NA,FALSE,superior temporal gyrus ,Das et al.,2
MRPS27,NA,FALSE,superior temporal gyrus ,Das et al.,2
HSD17B12,NA,FALSE,superior temporal gyrus ,Das et al.,2
SLC25A3,NA,FALSE,superior temporal gyrus ,Das et al.,2
TAF1B,NA,FALSE,superior temporal gyrus ,Das et al.,2
MDH2,NA,FALSE,superior temporal gyrus ,Das et al.,2
LRPPRC,NA,FALSE,superior temporal gyrus ,Das et al.,2
POLR2B,NA,FALSE,superior temporal gyrus ,Das et al.,2
CAMK1G,NA,FALSE,superior temporal gyrus ,Das et al.,2
EIF2S1,NA,FALSE,superior temporal gyrus ,Das et al.,2
SUMF2,NA,FALSE,superior temporal gyrus ,Das et al.,2
DPY19L1,NA,FALSE,superior temporal gyrus ,Das et al.,2
MAP3K13,NA,FALSE,superior temporal gyrus ,Das et al.,2
COPG1,NA,FALSE,superior temporal gyrus ,Das et al.,2
CYP51A1,NA,FALSE,superior temporal gyrus ,Das et al.,2
DNAJC19,NA,FALSE,superior temporal gyrus ,Das et al.,2
TRAPPC9,NA,FALSE,superior temporal gyrus ,Das et al.,2
TPGS2,NA,FALSE,superior temporal gyrus ,Das et al.,2
NDUFA5,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMB4,NA,FALSE,superior temporal gyrus ,Das et al.,2
PCYOX1L,NA,FALSE,superior temporal gyrus ,Das et al.,2
STX12,NA,FALSE,superior temporal gyrus ,Das et al.,2
HNRNPH2,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMC2,NA,FALSE,superior temporal gyrus ,Das et al.,2
MCTS1,NA,FALSE,superior temporal gyrus ,Das et al.,2
NEDD8,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMD6,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
SNRPD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
MFSD8,NA,FALSE,superior temporal gyrus ,Das et al.,2
UQCRC1,NA,FALSE,superior temporal gyrus ,Das et al.,2
C5orf22,NA,FALSE,superior temporal gyrus ,Das et al.,2
RBM3,NA,FALSE,superior temporal gyrus ,Das et al.,2
MSMO1,NA,FALSE,superior temporal gyrus ,Das et al.,2
FARSA,NA,FALSE,superior temporal gyrus ,Das et al.,2
PRDX2,NA,FALSE,superior temporal gyrus ,Das et al.,2
C11orf58,NA,FALSE,superior temporal gyrus ,Das et al.,2
PSMC1,NA,FALSE,superior temporal gyrus ,Das et al.,2
AP2B1,NA,FALSE,superior temporal gyrus ,Das et al.,2
RTCB,NA,FALSE,superior temporal gyrus ,Das et al.,2
LEPROTL1,NA,FALSE,superior temporal gyrus ,Das et al.,2
COPS8,NA,FALSE,superior temporal gyrus ,Das et al.,2
PRMT8,NA,FALSE,superior temporal gyrus ,Das et al.,2
AARSD1,NA,FALSE,superior temporal gyrus ,Das et al.,2
NCALD,NA,FALSE,superior temporal gyrus ,Das et al.,2
NREP,NA,FALSE,superior temporal gyrus ,Das et al.,2
ARMCX4,NA,FALSE,superior temporal gyrus ,Das et al.,2
PNPO,NA,FALSE,superior temporal gyrus ,Das et al.,2
NDUFA6,NA,FALSE,superior temporal gyrus ,Das et al.,2
NRIP3,NA,FALSE,superior temporal gyrus ,Das et al.,2
TSPAN7,NA,FALSE,superior temporal gyrus ,Das et al.,2
FECH,NA,FALSE,superior temporal gyrus ,Das et al.,2
SLC25A40,NA,FALSE,superior temporal gyrus ,Das et al.,2
PFDN1,NA,FALSE,superior temporal gyrus ,Das et al.,2
PLEKHB2,NA,FALSE,superior temporal gyrus ,Das et al.,2
KIF1BP,NA,FALSE,superior temporal gyrus ,Das et al.,2
TIMM23,NA,FALSE,superior temporal gyrus ,Das et al.,2
LANCL2,NA,FALSE,superior temporal gyrus ,Das et al.,2
PLAA,NA,FALSE,superior temporal gyrus ,Das et al.,2
VDAC3,NA,FALSE,superior temporal gyrus ,Das et al.,2
GPX4,NA,FALSE,superior temporal gyrus ,Das et al.,2
NAA20,NA,FALSE,superior temporal gyrus ,Das et al.,2
BEX5,NA,FALSE,superior temporal gyrus ,Das et al.,2
ENTPD3,NA,FALSE,superior temporal gyrus ,Das et al.,2
CLTC,NA,FALSE,superior temporal gyrus ,Das et al.,2
FAM162A,NA,FALSE,superior temporal gyrus ,Das et al.,2
MEAF6,NA,FALSE,superior temporal gyrus ,Das et al.,2
MOAP1,NA,FALSE,superior temporal gyrus ,Das et al.,2
PCDHGC5,NA,FALSE,superior temporal gyrus ,Das et al.,2
HSPA13,NA,FALSE,superior temporal gyrus ,Das et al.,2
TTC8,NA,FALSE,superior temporal gyrus ,Das et al.,2
GAD2,NA,FALSE,superior temporal gyrus ,Das et al.,2
GOT2,NA,FALSE,superior temporal gyrus ,Das et al.,2
FDPS,NA,FALSE,superior temporal gyrus ,Das et al.,2
LSM5,NA,FALSE,superior temporal gyrus ,Das et al.,2
FBXO21,NA,FALSE,superior temporal gyrus ,Das et al.,2
RLIM,NA,FALSE,superior temporal gyrus ,Das et al.,2
RAB18,NA,FALSE,superior temporal gyrus ,Das et al.,2
GDI2,NA,FALSE,superior temporal gyrus ,Das et al.,2
SLC39A10,NA,FALSE,superior temporal gyrus ,Das et al.,2
VPS25,NA,FALSE,superior temporal gyrus ,Das et al.,2
NRN1,NA,FALSE,superior temporal gyrus ,Das et al.,2
ATP6V1F,NA,FALSE,superior temporal gyrus ,Das et al.,2
CIRBP,NA,FALSE,superior temporal gyrus ,Das et al.,2
GPRASP2,NA,FALSE,superior temporal gyrus ,Das et al.,2
ARPC3,NA,FALSE,superior temporal gyrus ,Das et al.,2
SLC30A9,NA,FALSE,superior temporal gyrus ,Das et al.,2
TMX4,NA,FALSE,superior temporal gyrus ,Das et al.,2
PRKAR1A,NA,FALSE,superior temporal gyrus ,Das et al.,2
EAPP,NA,FALSE,superior temporal gyrus ,Das et al.,2
SC5D,NA,FALSE,superior temporal gyrus ,Das et al.,2
OR2L13,NA,FALSE,superior temporal gyrus ,Das et al.,2
RPH3A,NA,FALSE,superior temporal gyrus ,Das et al.,2
PLK2,NA,FALSE,superior temporal gyrus ,Das et al.,2
ISCU,NA,FALSE,superior temporal gyrus ,Das et al.,2
ATP5F1D,NA,FALSE,superior temporal gyrus ,Das et al.,2
PRDX5,NA,FALSE,superior temporal gyrus ,Das et al.,2
ARL1,NA,FALSE,superior temporal gyrus ,Das et al.,2
RMND1,NA,FALSE,superior temporal gyrus ,Das et al.,2
FH,NA,FALSE,superior temporal gyrus ,Das et al.,2
GRB2,NA,FALSE,superior temporal gyrus ,Das et al.,2
MYL12B,NA,FALSE,superior temporal gyrus ,Das et al.,2
DSTN,NA,FALSE,superior temporal gyrus ,Das et al.,2
WBP2,NA,FALSE,superior temporal gyrus ,Das et al.,2
STT3A,NA,FALSE,superior temporal gyrus ,Das et al.,2
GABARAPL2,NA,FALSE,superior temporal gyrus ,Das et al.,2
NDUFAB1,NA,FALSE,superior temporal gyrus ,Das et al.,2
PAFAH1B2,NA,FALSE,superior temporal gyrus ,Das et al.,2
CNOT7,NA,FALSE,superior temporal gyrus ,Das et al.,2
HMGCR,NA,FALSE,superior temporal gyrus ,Das et al.,2
CPSF3,NA,FALSE,superior temporal gyrus ,Das et al.,2
POLR2A,NA,FALSE,superior temporal gyrus ,Das et al.,2
OPN3,NA,FALSE,superior temporal gyrus ,Das et al.,2
AAMP,NA,FALSE,superior temporal gyrus ,Das et al.,2
MRPS21,NA,FALSE,superior temporal gyrus ,Das et al.,2
ATP5PO,NA,FALSE,superior temporal gyrus ,Das et al.,2
EPHA4,NA,FALSE,superior temporal gyrus ,Das et al.,2
