chr	gene_id	gene_symbol	P-value	Zscore	Direction	regulation	heterogeneity_I_squared	heterogeneity_Chi_squared	heterogeneity_degrees_of_freedom_squared	heterogeneity_P-value
11	ENSG00000134917	ADAMTS8	0.0001099	-3.868	---	Not differentially expressed	0.0	0.179	2	0.9144
4	ENSG00000250922	ATP5F1EP1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000003509	NDUFAF7	6.829e-05	-3.982	---	Not differentially expressed	0.0	0.183	2	0.9124
14	ENSG00000199454	RNA5SP388	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000283453	AC244258.1	0.07808	1.762	+++	Not differentially expressed	54.5	4.399	2	0.1109
X	ENSG00000102383	ZDHHC15	0.3469	0.941	++-	Not differentially expressed	34.7	3.065	2	0.216
22	ENSG00000100105	PATZ1	0.008989	2.612	+++	Not differentially expressed	0.0	0.518	2	0.7717
8	ENSG00000188877	POTEA	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
5	ENSG00000223361	FTH1P10	0.4738	-0.716	00-	Not differentially expressed	0.0	0.586	2	0.7461
12	ENSG00000244050	DEFB109F	0.7824	0.276	++-	Not differentially expressed	62.3	5.309	2	0.07035
1	ENSG00000122435	TRMT13	0.1524	1.431	+++	Not differentially expressed	56.2	4.565	2	0.102
2	ENSG00000115641	FHL2	0.003438	-2.926	---	Not differentially expressed	0.0	1.113	2	0.5731
12	ENSG00000189046	ALKBH2	0.02186	-2.293	---	Not differentially expressed	40.1	3.337	2	0.1885
9	ENSG00000223394	TRBV29OR9-2	0.6244	-0.49	00-	Not differentially expressed	0.0	0.274	2	0.8721
5	ENSG00000164221	CCDC112	0.1669	-1.382	---	Not differentially expressed	0.0	0.415	2	0.8124
6	ENSG00000218180	SLC25A5P7	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
8	ENSG00000253341	AC115837.1	0.5843	0.547	0+-	Not differentially expressed	0.0	1.101	2	0.5765
X	ENSG00000133138	TBC1D8B	0.1258	1.531	+++	Not differentially expressed	0.0	1.731	2	0.4208
4	ENSG00000224807	DUX4L9	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000157060	SHCBP1L	0.4165	0.812	0+-	Not differentially expressed	43.6	3.544	2	0.17
2	ENSG00000224344	KNOP1P3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
2	ENSG00000186684	CYP27C1	0.2033	1.272	+++	Not differentially expressed	0.0	1.192	2	0.5509
17	ENSG00000252370	RNA5SP438	0.997	-0.004	00-	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000166526	ZNF3	0.1538	1.426	+++	Not differentially expressed	12.9	2.297	2	0.3172
22	ENSG00000128218	VPREB3	0.3056	-1.024	0--	Not differentially expressed	0.0	0.484	2	0.785
12	ENSG00000111404	RERGL	0.6692	0.427	++-	Not differentially expressed	0.0	0.24	2	0.887
11	ENSG00000185101	ANO9	0.6905	0.398	0+-	Not differentially expressed	0.0	1.056	2	0.5898
3	ENSG00000138496	PARP9	0.0004263	3.523	+++	Not differentially expressed	0.0	0.286	2	0.8668
3	ENSG00000163825	RTP3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
5	ENSG00000197375	SLC22A5	0.5033	0.669	++-	Not differentially expressed	0.0	1.129	2	0.5686
12	ENSG00000110811	P3H3	0.9781	0.027	+-+	Not differentially expressed	0.0	0.082	2	0.9599
16	ENSG00000121270	ABCC11	0.06132	-1.871	---	Not differentially expressed	0.0	0.015	2	0.9927
16	ENSG00000085721	RRN3	0.09943	-1.648	---	Not differentially expressed	0.0	0.492	2	0.7821
X	ENSG00000282850	RHOXF1P2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000146386	ABRACL	3.974e-05	-4.109	---	Not differentially expressed	0.0	0.401	2	0.8182
2	ENSG00000169629	RGPD8	0.00535	-2.785	-+-	Not differentially expressed	62.5	5.327	2	0.0697
19	ENSG00000168995	SIGLEC7	0.3042	1.028	0++	Not differentially expressed	0.0	1.001	2	0.6063
18	ENSG00000134030	CTIF	0.1871	1.319	+++	Not differentially expressed	0.0	1.076	2	0.5839
8	ENSG00000251347	IRF5P1	0.5911	0.537	0++	Not differentially expressed	0.0	0.126	2	0.939
6	ENSG00000216365	RPL37P15	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000121764	HCRTR1	0.06509	-1.845	0--	Not differentially expressed	45.8	3.687	2	0.1583
7	ENSG00000271330	AC005084.1	0.378	0.882	0+0	Not differentially expressed	8.2	2.178	2	0.3366
15	ENSG00000258628	AC126603.1	0.3512	0.932	-++	Not differentially expressed	0.0	1.682	2	0.4314
1	ENSG00000049245	VAMP3	0.002873	2.981	+++	Not differentially expressed	0.0	0.259	2	0.8783
12	ENSG00000094914	AAAS	0.4705	0.722	-++	Not differentially expressed	0.0	1.297	2	0.5228
21	ENSG00000155313	USP25	0.00637	-2.728	---	Not differentially expressed	0.0	0.084	2	0.9586
6	ENSG00000146085	MUT	0.1702	-1.372	--+	Not differentially expressed	7.4	2.159	2	0.3397
3	ENSG00000240661	AC063952.1	0.0402	2.052	+++	Not differentially expressed	0.0	0.237	2	0.8882
7	ENSG00000282879	AC095038.3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
16	ENSG00000250251	PKD1P6	0.5456	0.604	++-	Not differentially expressed	52.1	4.179	2	0.1237
17	ENSG00000171431	KRT20	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000172410	INSL5	0.9935	0.008	00+	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000244267	RPL34P22	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
3	ENSG00000144559	TAMM41	0.5545	-0.591	++-	Not differentially expressed	62.0	5.266	2	0.07188
17	ENSG00000121053	EPX	0.4599	-0.739	++-	Not differentially expressed	42.7	3.493	2	0.1744
14	ENSG00000258968	AL049830.4	0.381	0.876	++-	Not differentially expressed	0.0	1.82	2	0.4024
17	ENSG00000142163	OR1E3	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000254403	OR10Y1P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000181001	OR52N1	0.1675	1.38	+++	Not differentially expressed	7.2	2.156	2	0.3403
X	ENSG00000223995	RPL32P35	0.5473	0.602	0+0	Not differentially expressed	0.0	1.015	2	0.602
2	ENSG00000233870	AC007881.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000221813	OR6B1	0.8336	-0.21	-+-	Not differentially expressed	0.0	1.102	2	0.5763
17	ENSG00000132581	SDF2	0.09312	-1.679	---	Not differentially expressed	0.0	1.588	2	0.452
11	ENSG00000276109	AP005019.3	0.2877	-1.063	00-	Not differentially expressed	0.0	1.29	2	0.5246
13	ENSG00000213621	RPSAP54	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
3	ENSG00000201822	RNA5SP149	0.893	-0.135	00-	Not differentially expressed	0.0	0.021	2	0.9897
15	ENSG00000104140	RHOV	1.994e-05	-4.266	---	Not differentially expressed	0.0	0.332	2	0.8471
8	ENSG00000121039	RDH10	0.4191	0.808	--+	Not differentially expressed	23.4	2.611	2	0.271
19	ENSG00000198482	ZNF808	0.6029	0.52	+++	Not differentially expressed	0.0	0.119	2	0.9422
8	ENSG00000170619	COMMD5	0.6	-0.524	--+	Not differentially expressed	13.5	2.313	2	0.3146
2	ENSG00000169599	NFU1	0.001253	-3.227	---	Not differentially expressed	0.0	1.873	2	0.3919
4	ENSG00000249244	AC110373.1	0.4462	-0.762	-+-	Not differentially expressed	0.0	0.504	2	0.7772
16	ENSG00000162032	SPSB3	0.9881	-0.015	-++	Not differentially expressed	16.5	2.395	2	0.302
6	ENSG00000111859	NEDD9	0.002983	2.97	+++	Not differentially expressed	0.0	0.058	2	0.9712
3	ENSG00000198836	OPA1	0.001143	-3.253	---	Not differentially expressed	0.0	0.161	2	0.9226
1	ENSG00000143674	MAP3K21	0.3881	-0.863	+--	Not differentially expressed	0.0	0.621	2	0.7332
1	ENSG00000279928	FO538757.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000161082	CELF5	0.02064	-2.314	+--	Not differentially expressed	61.6	5.206	2	0.07403
12	ENSG00000238105	GOLGA2P5	0.03643	2.092	+++	Not differentially expressed	0.0	1.544	2	0.4622
X	ENSG00000283093	CENPVL2	0.05119	-1.95	0--	Not differentially expressed	37.9	3.222	2	0.1997
5	ENSG00000164236	ANKRD33B	0.008788	-2.62	---	Not differentially expressed	0.0	0.242	2	0.8861
3	ENSG00000134086	VHL	0.6156	-0.502	-+-	Not differentially expressed	0.0	0.737	2	0.6918
1	ENSG00000226545	AL357552.1	0.6058	0.516	0+-	Not differentially expressed	47.0	3.776	2	0.1514
6	ENSG00000220867	HSPE1P26	0.588	0.542	0+-	Not differentially expressed	0.0	1.939	2	0.3793
18	ENSG00000264736	BDP1P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000227344	HAUS6P1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
9	ENSG00000231804	AL353748.1	0.4957	0.681	0++	Not differentially expressed	0.0	0.172	2	0.9177
2	ENSG00000168395	ING5	0.1015	1.638	+++	Not differentially expressed	0.0	0.38	2	0.8269
15	ENSG00000103832	GOLGA8UP	0.7647	0.299	0+-	Not differentially expressed	0.0	0.574	2	0.7505
11	ENSG00000226268	AC135977.1	0.4033	-0.836	--0	Not differentially expressed	0.0	0.613	2	0.736
1	ENSG00000228940	AL391730.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
10	ENSG00000119922	IFIT2	0.003859	2.889	+++	Not differentially expressed	0.0	0.073	2	0.9644
2	ENSG00000066248	NGEF	1.254e-05	-4.368	---	Not differentially expressed	0.0	0.779	2	0.6774
15	ENSG00000259270	AC044860.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
4	ENSG00000138678	GPAT3	0.13	-1.514	---	Not differentially expressed	0.0	0.586	2	0.746
4	ENSG00000198301	SDAD1	4.336e-05	-4.089	---	Not differentially expressed	0.0	0.819	2	0.6639
17	ENSG00000089685	BIRC5	0.1386	1.481	+++	Not differentially expressed	0.0	1.854	2	0.3958
2	ENSG00000163166	IWS1	0.008403	2.635	+++	Not differentially expressed	0.0	1.474	2	0.4786
15	ENSG00000166819	PLIN1	0.431	0.787	+++	Not differentially expressed	0.0	0.396	2	0.8202
8	ENSG00000172817	CYP7B1	0.699	-0.387	++-	Not differentially expressed	0.0	1.066	2	0.5867
19	ENSG00000007047	MARK4	0.9235	-0.096	+--	Not differentially expressed	48.1	3.856	2	0.1454
1	ENSG00000184588	PDE4B	0.8273	0.218	-++	Not differentially expressed	29.1	2.819	2	0.2443
9	ENSG00000236966	AL773545.2	0.2626	-1.12	0--	Not differentially expressed	0.0	0.473	2	0.7895
8	ENSG00000158806	NPM2	0.1157	-1.573	---	Not differentially expressed	0.0	1.428	2	0.4897
7	ENSG00000157927	RADIL	0.0008008	3.353	+++	Not differentially expressed	0.0	0.401	2	0.8182
11	ENSG00000236027	PATE3	0.3214	-0.992	-+-	Not differentially expressed	74.0	7.707	2	0.02121
6	ENSG00000188107	EYS	0.2431	1.167	+++	Not differentially expressed	0.0	1.222	2	0.5429
5	ENSG00000253910	PCDHGB2	0.3774	0.883	+++	Not differentially expressed	0.0	1.34	2	0.5117
12	ENSG00000255819	KLRC4-KLRK1	0.443	0.767	0++	Not differentially expressed	0.0	0.237	2	0.8883
9	ENSG00000231562	AL512593.1	0.7543	0.313	0+0	Not differentially expressed	0.0	0.274	2	0.8718
19	ENSG00000099326	MZF1	0.1532	1.428	++-	Not differentially expressed	14.7	2.344	2	0.3097
11	ENSG00000255111	AP006587.3	0.1415	-1.47	0--	Not differentially expressed	0.0	0.873	2	0.6464
2	ENSG00000170035	UBE2E3	0.002764	-2.993	---	Not differentially expressed	0.0	1.855	2	0.3956
5	ENSG00000113615	SEC24A	0.8254	-0.221	+--	Not differentially expressed	0.0	0.153	2	0.9265
5	ENSG00000248560	AC008620.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
1	ENSG00000232482	AL357134.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
3	ENSG00000162267	ITIH3	0.1518	-1.433	---	Not differentially expressed	0.0	0.412	2	0.8138
15	ENSG00000137802	MAPKBP1	0.06787	1.826	+-+	Not differentially expressed	0.0	1.679	2	0.4318
6	ENSG00000137409	MTCH1	0.002313	-3.047	---	Not differentially expressed	0.0	0.143	2	0.931
19	ENSG00000105063	PPP6R1	0.1401	1.475	+++	Not differentially expressed	0.0	1.875	2	0.3917
14	ENSG00000211890	IGHA2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
3	ENSG00000215606	KRT18P35	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
17	ENSG00000131482	G6PC	0.3806	0.877	+++	Not differentially expressed	0.0	0.658	2	0.7196
14	ENSG00000259371	AL136295.3	0.4397	0.773	00+	Not differentially expressed	0.0	0.681	2	0.7113
3	ENSG00000151092	NGLY1	0.5793	0.554	-++	Not differentially expressed	62.8	5.377	2	0.06797
1	ENSG00000174606	ANGEL2	0.8959	-0.131	-+-	Not differentially expressed	62.8	5.372	2	0.06814
20	ENSG00000229900	HSPD1P21	0.982	0.023	00+	Not differentially expressed	0.0	0.001	2	0.9997
16	ENSG00000241808	RPS15AP34	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000164500	SPATA48	0.1199	-1.555	00-	Not differentially expressed	27.5	2.76	2	0.2516
10	ENSG00000169129	AFAP1L2	0.403	0.836	+-+	Not differentially expressed	0.0	0.922	2	0.6308
10	ENSG00000265630	GLUD1P8	0.2629	-1.12	00-	Not differentially expressed	0.0	1.431	2	0.489
18	ENSG00000264315	HNRNPA1P11	0.7411	0.33	-+-	Not differentially expressed	0.0	0.942	2	0.6244
6	ENSG00000204248	COL11A2	0.8898	-0.139	-+-	Not differentially expressed	0.0	0.438	2	0.8032
17	ENSG00000108433	GOSR2	0.1409	-1.473	+--	Not differentially expressed	87.6	16.07	2	0.000324
4	ENSG00000151790	TDO2	0.01241	-2.5	---	Not differentially expressed	0.0	0.018	2	0.9908
11	ENSG00000284732	AP002512.3	0.6376	0.471	+++	Not differentially expressed	0.0	0.54	2	0.7633
4	ENSG00000270257	AC096720.1	0.2642	1.116	0++	Not differentially expressed	0.0	0.83	2	0.6604
5	ENSG00000113387	SUB1	4.271e-05	-4.092	---	Not differentially expressed	0.0	0.465	2	0.7927
11	ENSG00000173621	LRFN4	0.2499	-1.151	---	Not differentially expressed	0.0	1.274	2	0.5288
11	ENSG00000184698	OR51M1	0.1101	1.598	+++	Not differentially expressed	0.0	0.573	2	0.7508
1	ENSG00000159423	ALDH4A1	0.6647	0.433	+++	Not differentially expressed	0.0	0.091	2	0.9554
9	ENSG00000165698	SPACA9	0.9881	0.015	++-	Not differentially expressed	70.7	6.827	2	0.03293
6	ENSG00000135297	MTO1	0.1528	1.43	+++	Not differentially expressed	0.0	0.895	2	0.6391
12	ENSG00000111536	IL26	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
4	ENSG00000229579	USP17L26	0.5183	-0.646	--+	Not differentially expressed	0.0	0.585	2	0.7464
1	ENSG00000118217	ATF6	0.1604	-1.404	---	Not differentially expressed	0.0	0.168	2	0.9194
8	ENSG00000046889	PREX2	0.3666	0.903	+++	Not differentially expressed	0.0	0.347	2	0.8406
19	ENSG00000006712	PAF1	0.2674	1.109	+-+	Not differentially expressed	74.0	7.696	2	0.02132
8	ENSG00000042832	TG	0.553	0.593	--+	Not differentially expressed	26.8	2.731	2	0.2553
9	ENSG00000164970	FAM219A	0.4843	-0.699	+-+	Not differentially expressed	71.1	6.929	2	0.03129
7	ENSG00000177590	GIMAP3P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000268088	AC093063.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
22	ENSG00000077935	SMC1B	0.9645	-0.045	+-+	Not differentially expressed	0.0	0.035	2	0.9829
5	ENSG00000283740	TAF11L11	0.6061	-0.516	-00	Not differentially expressed	0.0	0.719	2	0.698
9	ENSG00000225385	AL353572.1	0.4068	-0.83	00-	Not differentially expressed	0.0	0.785	2	0.6752
1	ENSG00000120333	MRPS14	0.5282	0.631	+-+	Not differentially expressed	0.0	0.734	2	0.6929
6	ENSG00000274451	AL136228.1	0.7437	-0.327	00-	Not differentially expressed	0.0	0.122	2	0.9408
20	ENSG00000124164	VAPB	0.2137	-1.243	+--	Not differentially expressed	8.4	2.185	2	0.3355
2	ENSG00000114933	INO80D	0.2951	1.047	++-	Not differentially expressed	0.0	1.87	2	0.3925
11	ENSG00000213184	AP003040.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000257704	INAFM1	0.8019	-0.251	+--	Not differentially expressed	61.2	5.151	2	0.0761
4	ENSG00000170390	DCLK2	0.8446	-0.196	+-+	Not differentially expressed	18.0	2.44	2	0.2952
16	ENSG00000166595	CIAO2B	0.08033	-1.749	---	Not differentially expressed	5.5	2.117	2	0.347
2	ENSG00000236259	PPIAP64	0.6566	-0.445	0+-	Not differentially expressed	60.1	5.009	2	0.08172
X	ENSG00000215029	TCP11X2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
12	ENSG00000274928	KRT89P	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
17	ENSG00000132535	DLG4	0.02061	-2.315	+--	Not differentially expressed	63.6	5.498	2	0.06398
11	ENSG00000205494	OR52A4P	0.8027	0.25	00+	Not differentially expressed	0.0	0.071	2	0.965
15	ENSG00000103599	IQCH	0.1297	-1.515	-+-	Not differentially expressed	0.0	1.757	2	0.4155
9	ENSG00000165025	SYK	0.00205	3.083	+++	Not differentially expressed	0.0	0.288	2	0.866
4	ENSG00000164112	TMEM155	0.001107	-3.262	---	Not differentially expressed	0.0	0.544	2	0.7618
3	ENSG00000157152	SYN2	0.006137	-2.74	---	Not differentially expressed	0.0	1.313	2	0.5188
10	ENSG00000148444	COMMD3	0.08726	-1.71	---	Not differentially expressed	9.9	2.221	2	0.3295
12	ENSG00000255964	HSPD1P12	0.4666	-0.728	--+	Not differentially expressed	0.0	0.758	2	0.6845
3	ENSG00000163807	KIAA1143	0.03152	-2.15	---	Not differentially expressed	0.0	0.121	2	0.9414
8	ENSG00000168079	SCARA5	0.654	-0.448	++-	Not differentially expressed	40.1	3.337	2	0.1885
6	ENSG00000096654	ZNF184	1.488e-05	-4.33	---	Not differentially expressed	0.0	0.073	2	0.9641
1	ENSG00000225079	FTH1P22	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
19	ENSG00000130303	BST2	0.0145	2.445	+++	Not differentially expressed	0.0	1.875	2	0.3916
8	ENSG00000261150	EPPK1	0.7104	0.371	+++	Not differentially expressed	0.0	0.116	2	0.9435
1	ENSG00000117036	ETV3	0.8486	0.191	+-+	Not differentially expressed	35.6	3.106	2	0.2116
6	ENSG00000112033	PPARD	0.08464	1.724	+++	Not differentially expressed	7.2	2.155	2	0.3404
9	ENSG00000176101	SSNA1	0.8304	-0.214	--+	Not differentially expressed	3.4	2.071	2	0.355
1	ENSG00000179902	C1orf194	0.3279	0.978	+++	Not differentially expressed	0.0	1.492	2	0.4742
11	ENSG00000185742	C11orf87	3.597e-06	-4.633	---	Not differentially expressed	0.0	0.331	2	0.8474
19	ENSG00000105220	GPI	0.03299	-2.132	+--	Not differentially expressed	0.0	1.917	2	0.3834
12	ENSG00000075089	ACTR6	0.002496	-3.024	---	Not differentially expressed	0.0	0.913	2	0.6335
2	ENSG00000230044	AC110754.1	0.5532	0.593	0+-	Not differentially expressed	0.0	1.289	2	0.5248
2	ENSG00000227470	AC073415.1	0.7497	0.319	0+-	Not differentially expressed	40.5	3.362	2	0.1862
4	ENSG00000249646	OR7E94P	0.2443	1.164	+++	Not differentially expressed	0.0	0.879	2	0.6443
19	ENSG00000187994	RINL	0.5717	0.566	-++	Not differentially expressed	0.0	0.473	2	0.7895
2	ENSG00000231821	NPM1P48	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000217646	HIST1H2BPS2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
20	ENSG00000226875	ZNF877P	0.1023	1.634	0++	Not differentially expressed	0.0	1.053	2	0.5907
2	ENSG00000213355	CNN2P8	0.6133	0.505	0++	Not differentially expressed	0.0	0.318	2	0.8528
2	ENSG00000228225	AC016908.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000273897	AC211476.3	0.0796	-1.753	---	Not differentially expressed	0.0	0.733	2	0.6932
3	ENSG00000173175	ADCY5	0.1543	1.424	+++	Not differentially expressed	20.1	2.502	2	0.2862
6	ENSG00000096063	SRPK1	0.03129	-2.153	---	Not differentially expressed	0.0	1.738	2	0.4193
11	ENSG00000134824	FADS2	0.3957	0.849	+++	Not differentially expressed	0.0	0.265	2	0.8758
8	ENSG00000255413	AC022880.1	0.3194	0.996	0+0	Not differentially expressed	28.0	2.777	2	0.2494
1	ENSG00000185220	PGBD2	0.9335	-0.083	-+-	Not differentially expressed	2.4	2.049	2	0.3589
11	ENSG00000255255	PPP1R1AP1	0.177	1.35	0+0	Not differentially expressed	60.8	5.106	2	0.07783
17	ENSG00000264057	AC103810.1	0.4504	0.755	++-	Not differentially expressed	0.0	1.209	2	0.5462
6	ENSG00000060762	MPC1	0.1439	-1.461	---	Not differentially expressed	0.0	1.815	2	0.4035
12	ENSG00000086598	TMED2	0.01186	-2.516	---	Not differentially expressed	0.0	0.41	2	0.8148
19	ENSG00000197841	ZNF181	0.6226	0.492	--+	Not differentially expressed	50.1	4.008	2	0.1348
16	ENSG00000214940	NPIPA8	0.00169	3.14	+++	Not differentially expressed	22.0	2.563	2	0.2776
13	ENSG00000102743	SLC25A15	0.5425	-0.609	-+-	Not differentially expressed	0.0	1.246	2	0.5364
22	ENSG00000235328	AC006946.1	0.8863	0.143	0+-	Not differentially expressed	0.0	1.346	2	0.5102
4	ENSG00000170846	AC093323.1	0.0005637	-3.448	---	Not differentially expressed	0.0	0.269	2	0.8742
2	ENSG00000226700	MTND4P25	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
7	ENSG00000244556	ODCP	0.2735	1.095	-++	Not differentially expressed	0.0	1.561	2	0.4582
2	ENSG00000168397	ATG4B	0.01593	2.41	+++	Not differentially expressed	0.0	1.019	2	0.6007
1	ENSG00000187634	SAMD11	5.73e-05	4.024	+++	Not differentially expressed	0.0	0.014	2	0.9929
1	ENSG00000142798	HSPG2	0.04213	2.032	+++	Not differentially expressed	0.0	0.229	2	0.8918
2	ENSG00000181378	CFAP65	0.1247	-1.535	-+-	Not differentially expressed	16.2	2.387	2	0.3031
2	ENSG00000115839	RAB3GAP1	0.003011	-2.967	---	Not differentially expressed	0.0	0.177	2	0.9154
17	ENSG00000094804	CDC6	0.03616	-2.095	---	Not differentially expressed	0.0	1.573	2	0.4554
1	ENSG00000007908	SELE	4.313e-11	-6.593	---	Downregulated in AD	44.2	3.586	2	0.1665
22	ENSG00000128228	SDF2L1	0.5428	-0.609	+--	Not differentially expressed	0.0	1.6	2	0.4493
19	ENSG00000104938	CLEC4M	0.04447	2.01	+++	Not differentially expressed	0.0	0.051	2	0.9748
18	ENSG00000197971	MBP	0.2054	1.266	+-+	Not differentially expressed	11.7	2.264	2	0.3224
5	ENSG00000146005	PSD2	2.419e-05	4.222	+++	Not differentially expressed	0.0	1.224	2	0.5423
4	ENSG00000174125	TLR1	0.1487	1.444	+++	Not differentially expressed	0.0	0.816	2	0.6651
10	ENSG00000234102	KRT19P4	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000156500	FAM122C	0.4398	0.773	-++	Not differentially expressed	0.0	1.175	2	0.5558
8	ENSG00000253570	RNF5P1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
10	ENSG00000261011	AL136982.4	0.068	1.825	+++	Not differentially expressed	0.0	0.922	2	0.6305
Y	ENSG00000237802	FAM197Y6	0.6916	0.397	00+	Not differentially expressed	0.0	0.18	2	0.9141
2	ENSG00000213601	KRT18P19	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
14	ENSG00000100906	NFKBIA	9.391e-07	4.904	+++	Not differentially expressed	76.3	8.456	2	0.01458
6	ENSG00000083099	LYRM2	0.3628	-0.91	+-+	Not differentially expressed	47.6	3.815	2	0.1485
1	ENSG00000162521	RBBP4	0.05696	-1.904	---	Not differentially expressed	0.0	0.308	2	0.8572
11	ENSG00000166927	MS4A7	0.0001235	3.839	+++	Not differentially expressed	30.7	2.885	2	0.2363
14	ENSG00000177108	ZDHHC22	0.3707	0.895	+--	Not differentially expressed	66.3	5.93	2	0.05157
X	ENSG00000147065	MSN	0.0003047	3.611	+++	Not differentially expressed	0.0	0.672	2	0.7145
2	ENSG00000230992	FAM201B	0.121	-1.55	-+-	Not differentially expressed	15.1	2.355	2	0.3081
2	ENSG00000163806	SPDYA	0.704	0.38	-++	Not differentially expressed	0.0	0.738	2	0.6915
7	ENSG00000106341	PPP1R17	0.2626	-1.12	---	Not differentially expressed	0.0	0.362	2	0.8346
19	ENSG00000268797	AC008537.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
11	ENSG00000137486	ARRB1	0.01281	2.489	+-+	Not differentially expressed	54.3	4.381	2	0.1119
11	ENSG00000219435	CATSPERZ	0.9347	0.082	-+-	Not differentially expressed	0.0	0.372	2	0.8301
3	ENSG00000151967	SCHIP1	0.01034	-2.564	---	Not differentially expressed	12.3	2.279	2	0.3199
20	ENSG00000243543	WFDC6	0.8644	0.171	00+	Not differentially expressed	0.0	0.033	2	0.9835
21	ENSG00000177692	DNAJC28	0.4949	-0.683	--+	Not differentially expressed	54.8	4.421	2	0.1097
18	ENSG00000176624	MEX3C	0.03408	2.119	+++	Not differentially expressed	0.0	0.1	2	0.9512
18	ENSG00000266105	AC009831.2	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000217241	CBX3P9	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
X	ENSG00000224109	CENPVL3	0.003573	-2.914	---	Not differentially expressed	0.0	0.094	2	0.954
19	ENSG00000267056	AC005336.1	0.8299	0.215	++-	Not differentially expressed	0.0	0.268	2	0.8746
2	ENSG00000186453	FAM228A	0.2732	-1.096	++-	Not differentially expressed	60.8	5.098	2	0.07816
21	ENSG00000229231	FEM1AP1	0.2621	-1.121	0--	Not differentially expressed	0.0	0.936	2	0.6263
7	ENSG00000242552	MRPL42P4	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
13	ENSG00000120694	HSPH1	0.4448	-0.764	---	Not differentially expressed	0.0	0.503	2	0.7776
6	ENSG00000216811	AL035698.1	1.0	0.0	000	Not differentially expressed	0.0	0.0	2	1.0
6	ENSG00000120279	MYCT1	0.001947	3.098	+++	Not differentially expressed	0.0	0.171	2	0.9182
21	ENSG00000201812	RNA5SP488	0.9503	0.062	00+	Not differentially expressed	0.0	0.004	2	0.9978
12	ENSG00000257237	AC018448.1	0.7479	-0.321	0-0	Not differentially expressed	0.0	0.289	2	0.8653
11	ENSG00000183801	OLFML1	0.0006678	3.402	+++	Not differentially expressed	0.0	1.933	2	0.3805
5	ENSG00000150756	FAM173B	0.9659	-0.043	-++	Not differentially expressed	0.0	1.79	2	0.4087
