MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_bh_adjusted	gene_symbol	ensembl_id	chromosome	start_position	regulation
PIP4P1|ENSG00000165782	ad	control	687.0	-0.812	0.4167	-+--+-----+-++	0.6124208985804186	PIP4P1	ENSG00000165782	14	20457681	Not differentially expressed
CCNL2|ENSG00000221978	ad	control	687.0	0.538	0.5908	----+++-+++++-	0.7516006082108465	CCNL2	ENSG00000221978	1	1385711	Not differentially expressed
ARPC1B|ENSG00000130429	ad	control	687.0	-3.266	0.001089	-----------+--	0.021230213592233007	ARPC1B	ENSG00000130429	7	99374249	Not differentially expressed
ARL4D|ENSG00000175906	ad	control	687.0	1.188	0.2347	+++++----+--++	0.43422214035734025	ARL4D	ENSG00000175906	17	43398993	Not differentially expressed
RNF145|ENSG00000145860	ad	control	687.0	-1.287	0.198	++++---++++-+-	0.39467036890122964	RNF145	ENSG00000145860	5	159157409	Not differentially expressed
ZBTB6|ENSG00000186130	ad	control	687.0	1.379	0.1678	-++-+++--+++++	0.3569305084745763	ZBTB6	ENSG00000186130	9	122908056	Not differentially expressed
MRPS16|ENSG00000182180	ad	control	687.0	0.821	0.4114	+++++----++-++	0.6079564321460111	MRPS16	ENSG00000182180	10	73248843	Not differentially expressed
DNASE1L2|ENSG00000167968	ad	control	687.0	-2.331	0.01978	----+++++-----	0.10055242914979758	DNASE1L2	ENSG00000167968	16	2235816	Not differentially expressed
CLN8|ENSG00000182372	ad	control	687.0	-0.919	0.3579	------+++--+-+	0.5612802249297095	CLN8	ENSG00000182372	8	1755778	Not differentially expressed
SYNGR2|ENSG00000108639	ad	control	687.0	-1.306	0.1917	-----++++--+--	0.3871792395896198	SYNGR2	ENSG00000108639	17	78168581	Not differentially expressed
SLC47A1|ENSG00000142494	ad	control	687.0	0.342	0.7321	++-++----+---+	0.848566612791503	SLC47A1	ENSG00000142494	17	19495385	Not differentially expressed
ZSWIM3|ENSG00000132801	ad	control	687.0	-0.586	0.5577	-----+--+++-++	0.7264281266216918	ZSWIM3	ENSG00000132801	20	45857614	Not differentially expressed
TMEM200C|ENSG00000206432	ad	control	687.0	-1.568	0.1169	+++++---------	0.28738303593253484	TMEM200C	ENSG00000206432	18	5882072	Not differentially expressed
C12orf43|ENSG00000157895	ad	control	687.0	2.046	0.04078	+++++----++-++	0.1507478645066274	C12orf43	ENSG00000157895	12	121000486	Not differentially expressed
SLC29A1|ENSG00000112759	ad	control	687.0	-2.148	0.03175	-+--+-----+-+-	0.13139736191261334	SLC29A1	ENSG00000112759	6	44219553	Not differentially expressed
ANTXR2|ENSG00000163297	ad	control	687.0	-3.049	0.002297	-----++++---+-	0.03189013774104683	ANTXR2	ENSG00000163297	4	79901146	Not differentially expressed
EEF2KMT|ENSG00000118894	ad	control	687.0	-1.044	0.2967	-----------+-+	0.499810067114094	EEF2KMT	ENSG00000118894	16	5084284	Not differentially expressed
PLEC|ENSG00000178209	ad	control	687.0	-2.277	0.02277	-----++++-----	0.10922215854823306	PLEC	ENSG00000178209	8	143915153	Not differentially expressed
GAREM2|ENSG00000157833	ad	control	687.0	-3.61	0.0003068	-----++++-----	0.01137372693726937	GAREM2	ENSG00000157833	2	26173088	Not differentially expressed
RAB2A|ENSG00000104388	ad	control	687.0	3.198	0.001384	+++++----+++++	0.02405778546712803	RAB2A	ENSG00000104388	8	60516936	Not differentially expressed
KANSL2|ENSG00000139620	ad	control	687.0	-0.278	0.7813	-----+-++-++--	0.8793018719874452	KANSL2	ENSG00000139620	12	48653211	Not differentially expressed
ANKRD50|ENSG00000151458	ad	control	687.0	0.614	0.5393	++++-+-++++++-	0.7122946205445219	ANKRD50	ENSG00000151458	4	124664048	Not differentially expressed
CCNB1|ENSG00000134057	ad	control	687.0	1.019	0.3083	++++++---+---+	0.5128967688483844	CCNB1	ENSG00000134057	5	69167135	Not differentially expressed
TTC13|ENSG00000143643	ad	control	687.0	0.108	0.9142	-++++++----+--	0.9565990620114643	TTC13	ENSG00000143643	1	230906243	Not differentially expressed
NBPF3|ENSG00000142794	ad	control	687.0	0.958	0.3381	++++---+-++-+-	0.5407876374064043	NBPF3	ENSG00000142794	1	21440128	Not differentially expressed
RASSF4|ENSG00000107551	ad	control	687.0	-0.269	0.7876	+--++-+---++--	0.8822385362043959	RASSF4	ENSG00000107551	10	44959407	Not differentially expressed
TLK2|ENSG00000146872	ad	control	687.0	-0.308	0.7584	-----++++--+--	0.8649705782119732	TLK2	ENSG00000146872	17	62458658	Not differentially expressed
SMARCC1|ENSG00000173473	ad	control	687.0	-1.661	0.09681	-----++++--+--	0.256321835443038	SMARCC1	ENSG00000173473	3	47585269	Not differentially expressed
PDLIM5|ENSG00000163110	ad	control	687.0	-2.184	0.02898	----------+++-	0.12487519313304721	PDLIM5	ENSG00000163110	4	94451857	Not differentially expressed
SCAF4|ENSG00000156304	ad	control	687.0	-1.56	0.1187	----+++++-----	0.29010418695228823	SCAF4	ENSG00000156304	21	31671000	Not differentially expressed
SEC24D|ENSG00000150961	ad	control	687.0	-1.419	0.1559	+++++-------+-	0.3405648389904265	SEC24D	ENSG00000150961	4	118722823	Not differentially expressed
SPARC|ENSG00000113140	ad	control	687.0	-2.712	0.006691	-----+++--+++-	0.05411785256410257	SPARC	ENSG00000113140	5	151661096	Not differentially expressed
FBXO21|ENSG00000135108	ad	control	687.0	2.013	0.04417	+++++----+++++	0.15843758485173276	FBXO21	ENSG00000135108	12	117141991	Not differentially expressed
SLC25A38|ENSG00000144659	ad	control	687.0	-0.381	0.7029	++++--+--+----	0.8292733254994125	SLC25A38	ENSG00000144659	3	39383370	Not differentially expressed
OGFOD3|ENSG00000181396	ad	control	687.0	-1.159	0.2466	----+--------+	0.44747225736490154	OGFOD3	ENSG00000181396	17	82389210	Not differentially expressed
UBA2|ENSG00000126261	ad	control	687.0	0.717	0.4735	++++-++++--++-	0.6587141471525564	UBA2	ENSG00000126261	19	34428352	Not differentially expressed
CYB561|ENSG00000008283	ad	control	687.0	0.545	0.5861	+++++-+--0---+	0.7485617605902556	CYB561	ENSG00000008283	17	63432304	Not differentially expressed
COL11A2|ENSG00000230930	ad	control	687.0	0.606	0.5447	----+++++--+-+	0.7167480996068152	COL11A2	ENSG00000230930	HSCHR6_MHC_DBB_CTG1	4406180	Not differentially expressed
LMBRD2|ENSG00000164187	ad	control	687.0	1.762	0.07804	+++++----+++++	0.22482685796269727	LMBRD2	ENSG00000164187	5	36098407	Not differentially expressed
ABCB6|ENSG00000115657	ad	control	687.0	-2.905	0.003667	------+--+----	0.039545306122448984	ABCB6	ENSG00000115657	2	219209772	Not differentially expressed
RBP7|ENSG00000162444	ad	control	687.0	1.833	0.06675	++-++-++++++-+	0.2045695970695971	RBP7	ENSG00000162444	1	9997206	Not differentially expressed
PRIM2|ENSG00000146143	ad	control	687.0	-0.566	0.5713	------++++-++-	0.7369718617499679	PRIM2	ENSG00000146143	6	57314805	Not differentially expressed
UBTF|ENSG00000108312	ad	control	687.0	-1.006	0.3143	-----++++-----	0.5190939299226847	UBTF	ENSG00000108312	17	44205033	Not differentially expressed
ZNF221|ENSG00000159905	ad	control	687.0	-0.368	0.7131	-++--+-+--+-+-	0.8350272918124563	ZNF221	ENSG00000159905	19	43951223	Not differentially expressed
ZFYVE26|ENSG00000072121	ad	control	687.0	-0.994	0.3204	-----+++---+--	0.5240821114369502	ZFYVE26	ENSG00000072121	14	67727374	Not differentially expressed
ZNF438|ENSG00000183621	ad	control	687.0	-0.952	0.3409	-----++++-+++-	0.5437934540832539	ZNF438	ENSG00000183621	10	30820207	Not differentially expressed
DR1|ENSG00000117505	ad	control	687.0	0.725	0.4683	++++------+++-	0.6538356278681685	DR1	ENSG00000117505	1	93345907	Not differentially expressed
DHX16|ENSG00000227222	ad	control	687.0	-0.719	0.4724	-------++--+--	0.6578219140083218	DHX16	ENSG00000227222	HSCHR6_MHC_APD_CTG1	1988978	Not differentially expressed
FUZ|ENSG00000010361	ad	control	687.0	0.529	0.5971	----+++++--+--	0.7563568004037345	FUZ	ENSG00000010361	19	49806866	Not differentially expressed
ASPHD2|ENSG00000128203	ad	control	687.0	-0.046	0.9636	++++-----+---+	0.9822869326835212	ASPHD2	ENSG00000128203	22	26429260	Not differentially expressed
NUPR1|ENSG00000176046	ad	control	687.0	-3.674	0.0002391	-----++++-----	0.010155687242798354	NUPR1	ENSG00000176046	16	28532708	Not differentially expressed
CCDC32|ENSG00000128891	ad	control	687.0	1.48	0.1389	---++-+-++++++	0.31744957887548375	CCDC32	ENSG00000128891	15	40528683	Not differentially expressed
ANKRD54|ENSG00000100124	ad	control	687.0	-0.414	0.6788	-++++--------+	0.8122946364719904	ANKRD54	ENSG00000100124	22	37830855	Not differentially expressed
SLC39A1|ENSG00000143570	ad	control	687.0	-2.601	0.009299	-----------+--	0.06547122019635343	SLC39A1	ENSG00000143570	1	153959099	Not differentially expressed
STX1A|ENSG00000106089	ad	control	687.0	2.584	0.009758	+++++----+--++	0.06710295890410958	STX1A	ENSG00000106089	7	73699206	Not differentially expressed
GABRD|ENSG00000187730	ad	control	687.0	1.651	0.09875	+++++----+---+	0.25981394129979035	GABRD	ENSG00000187730	1	2019329	Not differentially expressed
ARHGDIG|ENSG00000242173	ad	control	687.0	-0.178	0.8588	+++++--------+	0.9259398625429552	ARHGDIG	ENSG00000242173	16	280450	Not differentially expressed
COL8A2|ENSG00000171812	ad	control	687.0	-3.688	0.0002262	-----++-+--+--	0.009960736842105264	COL8A2	ENSG00000171812	1	36095239	Downregulated in AD
NAA50|ENSG00000121579	ad	control	687.0	-0.51	0.6101	++++-+---++++-	0.7649344814676152	NAA50	ENSG00000121579	3	113716458	Not differentially expressed
GPATCH11|ENSG00000152133	ad	control	687.0	1.823	0.06831	++++---+++++++	0.2076392370572207	GPATCH11	ENSG00000152133	2	37084518	Not differentially expressed
CDKN1C|ENSG00000273707	ad	control	687.0	0.966	0.3342	-----++++--+--	0.5377939432783208	CDKN1C	ENSG00000273707	HSCHR11_1_CTG7	115392	Not differentially expressed
LAMTOR1|ENSG00000149357	ad	control	687.0	-0.326	0.7442	-------++-++-+	0.8554806503320358	LAMTOR1	ENSG00000149357	11	72085895	Not differentially expressed
HSDL1|ENSG00000103160	ad	control	687.0	1.142	0.2534	++++-+----+-++	0.4544723115398357	HSDL1	ENSG00000103160	16	84122141	Not differentially expressed
GOLM2|ENSG00000166734	ad	control	687.0	-0.921	0.3571	-----+-++-+++-	0.5605509693558474	GOLM2	ENSG00000166734	15	44288719	Not differentially expressed
QRICH1|ENSG00000198218	ad	control	687.0	1.162	0.2454	+++++-----++++	0.44650525552736503	QRICH1	ENSG00000198218	3	49029707	Not differentially expressed
ELAC1|ENSG00000141642	ad	control	687.0	2.357	0.01841	+++++-++++++++	0.09611877275091003	ELAC1	ENSG00000141642	18	50967991	Not differentially expressed
RHOBTB1|ENSG00000072422	ad	control	687.0	1.062	0.2884	+-++-+++++++--	0.49160203735144314	RHOBTB1	ENSG00000072422	10	60869438	Not differentially expressed
ZNF763|ENSG00000197054	ad	control	687.0	0.208	0.8349	+--------+++++	0.9106350896252036	ZNF763	ENSG00000197054	19	11965037	Not differentially expressed
PAFAH1B3|ENSG00000079462	ad	control	687.0	0.078	0.938	++-+-++++----+	0.9697786015858305	PAFAH1B3	ENSG00000079462	19	42297033	Not differentially expressed
TMA7|ENSG00000232112	ad	control	687.0	-0.832	0.4055	----+----+++++	0.6033224659158269	TMA7	ENSG00000232112	3	48440257	Not differentially expressed
S1PR2|ENSG00000267534	ad	control	687.0	-0.357	0.721	----+---++++--	0.8408456266697643	S1PR2	ENSG00000267534	19	10221433	Not differentially expressed
MICOS13|ENSG00000174917	ad	control	687.0	1.645	0.1	+++++----+-+-+	0.261935820506131	MICOS13	ENSG00000174917	19	5678421	Not differentially expressed
KRT222|ENSG00000213424	ad	control	687.0	2.292	0.02193	+++++----++-++	0.10698280718795533	KRT222	ENSG00000213424	17	40654665	Not differentially expressed
GMPPA|ENSG00000144591	ad	control	687.0	-1.087	0.2772	+-----+-+-+---	0.48042257897462454	GMPPA	ENSG00000144591	2	219498865	Not differentially expressed
NSFL1C|ENSG00000088833	ad	control	687.0	2.398	0.01646	+++++++++++-++	0.09020655021834059	NSFL1C	ENSG00000088833	20	1442162	Not differentially expressed
BCOR|ENSG00000183337	ad	control	687.0	-2.089	0.03672	----+---+--++-	0.14130655423533922	BCOR	ENSG00000183337	X	40049815	Not differentially expressed
ZIC1|ENSG00000152977	ad	control	687.0	-4.386	1.153e-05	--------+-----	0.002083740350877193	ZIC1	ENSG00000152977	3	147393422	Downregulated in AD
WDR1|ENSG00000071127	ad	control	687.0	-1.818	0.06906	+----------++-	0.20896998191681734	WDR1	ENSG00000071127	4	10068089	Not differentially expressed
CORO2B|ENSG00000103647	ad	control	687.0	2.562	0.01042	+++++++--+---+	0.06937453580901858	CORO2B	ENSG00000103647	15	68578993	Not differentially expressed
METTL15|ENSG00000169519	ad	control	687.0	0.418	0.6759	++++-+---+-+-+	0.8106601361844462	METTL15	ENSG00000169519	11	28108248	Not differentially expressed
KDR|ENSG00000128052	ad	control	687.0	0.046	0.9635	-------+++-++-	0.9822869326835212	KDR	ENSG00000128052	4	55078481	Not differentially expressed
IRAK4|ENSG00000198001	ad	control	687.0	-1.126	0.26	-----+-++-+++-	0.461282912175296	IRAK4	ENSG00000198001	12	43758944	Not differentially expressed
SSRP1|ENSG00000149136	ad	control	687.0	0.602	0.5473	++++-+-++-----	0.7185117008759315	SSRP1	ENSG00000149136	11	57325986	Not differentially expressed
LAMA1|ENSG00000101680	ad	control	687.0	-1.815	0.06958	-----++----+--	0.20994098557692306	LAMA1	ENSG00000101680	18	6941742	Not differentially expressed
ZNF441|ENSG00000197044	ad	control	687.0	3.014	0.002575	+++++----+++++	0.033645097529258775	ZNF441	ENSG00000197044	19	11767000	Not differentially expressed
CTU2|ENSG00000174177	ad	control	687.0	-0.894	0.3716	----+-++-----+	0.5728334101028711	CTU2	ENSG00000174177	16	88706483	Not differentially expressed
PLCH2|ENSG00000149527	ad	control	687.0	-0.026	0.9789	----+-+--+-+-+	0.9897438066465257	PLCH2	ENSG00000149527	1	2425980	Not differentially expressed
TM2D3|ENSG00000184277	ad	control	687.0	2.111	0.03477	+++++----+++++	0.1378023677979479	TM2D3	ENSG00000184277	15	101621444	Not differentially expressed
ING5|ENSG00000168395	ad	control	687.0	-0.777	0.4374	-----++++-----	0.6294246810950265	ING5	ENSG00000168395	2	241687085	Not differentially expressed
ABCA3|ENSG00000167972	ad	control	687.0	-1.294	0.1956	++++---------+	0.3921373801916933	ABCA3	ENSG00000167972	16	2275881	Not differentially expressed
GLRB|ENSG00000109738	ad	control	687.0	1.774	0.07608	+++++----++-++	0.22136280417149476	GLRB	ENSG00000109738	4	157076125	Not differentially expressed
KHDC4|ENSG00000132680	ad	control	687.0	-0.348	0.7277	+----++++-+++-	0.8459080699316893	KHDC4	ENSG00000132680	1	155913045	Not differentially expressed
SMARCA4|ENSG00000127616	ad	control	687.0	1.457	0.145	--+-+--+-+---+	0.3256823266219239	SMARCA4	ENSG00000127616	19	10960932	Not differentially expressed
FLOT2|ENSG00000132589	ad	control	687.0	-0.736	0.4616	++++---------+	0.6479955257270694	FLOT2	ENSG00000132589	17	28879335	Not differentially expressed
NPIPA5|ENSG00000282705	ad	control	687.0	0.239	0.8111	+++++++++-----	0.8966575644131249	NPIPA5	ENSG00000282705	HSCHR16_1_CTG1	1021570	Not differentially expressed
TRMT9B|ENSG00000284872	ad	control	687.0	1.455	0.1458	++++++---++-++	0.3266078037904125	TRMT9B	ENSG00000284872	HG76_PATCH	6141094	Not differentially expressed
CCDC50|ENSG00000152492	ad	control	687.0	-1.059	0.2897	----+------+--	0.4928974750042366	CCDC50	ENSG00000152492	3	191329085	Not differentially expressed
H2AJ|ENSG00000246705	ad	control	687.0	-0.764	0.4451	+------++--+--	0.6353816425120773	H2AJ	ENSG00000246705	12	14774405	Not differentially expressed
SAPCD2|ENSG00000186193	ad	control	687.0	0.793	0.4281	-++++----0-+-+	0.6213855717796732	SAPCD2	ENSG00000186193	9	137062127	Not differentially expressed
CAMSAP3|ENSG00000076826	ad	control	687.0	-0.622	0.5341	-++-+-+--+---+	0.7071560068574443	CAMSAP3	ENSG00000076826	19	7595863	Not differentially expressed
RPS28|ENSG00000233927	ad	control	687.0	1.693	0.09044	-+-+-++++++++-	0.246409118046133	RPS28	ENSG00000233927	19	8321158	Not differentially expressed
ACTL6B|ENSG00000077080	ad	control	687.0	0.965	0.3344	+++++----+--++	0.5378686318487663	ACTL6B	ENSG00000077080	7	100643097	Not differentially expressed
FABP7|ENSG00000164434	ad	control	687.0	0.276	0.7823	---+-++--+--++	0.8795399776035834	FABP7	ENSG00000164434	6	122779716	Not differentially expressed
MESD|ENSG00000117899	ad	control	687.0	-0.004	0.9971	----------++++	0.9987911802853436	MESD	ENSG00000117899	15	80946289	Not differentially expressed
SCFD1|ENSG00000092108	ad	control	687.0	3.728	0.0001928	+++++----+++++	0.009173990521327014	SCFD1	ENSG00000092108	14	30622291	Upregulated in AD
PTBP2|ENSG00000117569	ad	control	687.0	2.413	0.01581	+++++-+-++++-+	0.08789169435215947	PTBP2	ENSG00000117569	1	96721665	Not differentially expressed
TYSND1|ENSG00000156521	ad	control	687.0	-0.853	0.3936	----+---+++++-	0.5931768237766437	TYSND1	ENSG00000156521	10	70137981	Not differentially expressed
FRRS1L|ENSG00000260230	ad	control	687.0	0.78	0.4353	+++++----++-++	0.6273919035314385	FRRS1L	ENSG00000260230	9	109130293	Not differentially expressed
ZNF561|ENSG00000171469	ad	control	687.0	-1.874	0.06091	------+++-++--	0.1937080772885651	ZNF561	ENSG00000171469	19	9604680	Not differentially expressed
ZNF200|ENSG00000010539	ad	control	687.0	-0.1	0.9202	--+---+--++-++	0.9600802161263509	ZNF200	ENSG00000010539	16	3222325	Not differentially expressed
SDC4|ENSG00000124145	ad	control	687.0	-0.966	0.334	----------++++	0.537655924322591	SDC4	ENSG00000124145	20	45325288	Not differentially expressed
ALS2CL|ENSG00000178038	ad	control	687.0	-0.88	0.3787	+-+-+++++-----	0.579419079548918	ALS2CL	ENSG00000178038	3	46668995	Not differentially expressed
TMED5|ENSG00000117500	ad	control	687.0	-3.222	0.001275	---------++++-	0.02310649819494585	TMED5	ENSG00000117500	1	93149742	Not differentially expressed
DYNLL1|ENSG00000088986	ad	control	687.0	1.458	0.1448	++++++---+-+++	0.3255244066278549	DYNLL1	ENSG00000088986	12	120469850	Not differentially expressed
ATP5MG|ENSG00000167283	ad	control	687.0	1.569	0.1167	+++++----+-+++	0.2870328270455659	ATP5MG	ENSG00000167283	11	118401346	Not differentially expressed
RSL24D1|ENSG00000137876	ad	control	687.0	1.076	0.2818	+++++----++++-	0.48446438356164384	RSL24D1	ENSG00000137876	15	55180806	Not differentially expressed
NT5C2|ENSG00000076685	ad	control	687.0	-1.117	0.2639	-----++++---+-	0.465569495694957	NT5C2	ENSG00000076685	10	103087185	Not differentially expressed
LRRC40|ENSG00000066557	ad	control	687.0	2.586	0.009715	+++++----+++++	0.06703683848797251	LRRC40	ENSG00000066557	1	70144805	Not differentially expressed
ALS2|ENSG00000003393	ad	control	687.0	3.586	0.0003361	+++++++++++-++	0.011774802721088435	ALS2	ENSG00000003393	2	201700267	Not differentially expressed
UQCC2|ENSG00000137288	ad	control	687.0	-1.454	0.1459	--+---++-----+	0.3266078037904125	UQCC2	ENSG00000137288	6	33694293	Not differentially expressed
LRRIQ1|ENSG00000133640	ad	control	687.0	-2.188	0.02865	-----+-++-----	0.1239319258940112	LRRIQ1	ENSG00000133640	12	85036314	Not differentially expressed
CHSY1|ENSG00000131873	ad	control	687.0	-0.766	0.4437	----+--++-+++-	0.6343084152071764	CHSY1	ENSG00000131873	15	101175727	Not differentially expressed
ZKSCAN8|ENSG00000198315	ad	control	687.0	0.65	0.5156	++++-++++-+++-	0.691599732798931	ZKSCAN8	ENSG00000198315	6	28141883	Not differentially expressed
TRIM13|ENSG00000204977	ad	control	687.0	-1.143	0.253	-----++++-+++-	0.4539170836311651	TRIM13	ENSG00000204977	13	49995888	Not differentially expressed
CASTOR2|ENSG00000274070	ad	control	687.0	-0.897	0.3697	----+-++++---0	0.5715719125346473	CASTOR2	ENSG00000274070	7	74964705	Not differentially expressed
ORC4|ENSG00000115947	ad	control	687.0	2.305	0.02114	+++++++--++-++	0.10480611439842209	ORC4	ENSG00000115947	2	147930396	Not differentially expressed
HOOK3|ENSG00000168172	ad	control	687.0	2.091	0.0365	-++++----++++-	0.14094615384615383	HOOK3	ENSG00000168172	8	42896946	Not differentially expressed
TMEM53|ENSG00000126106	ad	control	687.0	0.178	0.859	------++--++++	0.9260560506818425	TMEM53	ENSG00000126106	1	44635238	Not differentially expressed
ZDHHC4|ENSG00000136247	ad	control	687.0	0.169	0.8656	+++-+------+-+	0.9299758159443553	ZDHHC4	ENSG00000136247	7	6577434	Not differentially expressed
CFAP298|ENSG00000159079	ad	control	687.0	-0.744	0.4569	+-+-+----+--++	0.6450957671213612	CFAP298	ENSG00000159079	21	32592079	Not differentially expressed
QDPR|ENSG00000151552	ad	control	687.0	0.148	0.8823	-----++++--+--	0.9378816304923239	QDPR	ENSG00000151552	4	17460261	Not differentially expressed
TMEM230|ENSG00000089063	ad	control	687.0	2.095	0.03617	++++++-+--++++	0.1401263401465484	TMEM230	ENSG00000089063	20	5068232	Not differentially expressed
TCEANC2|ENSG00000116205	ad	control	687.0	-0.723	0.4694	----+--++-++--	0.6548250659997221	TCEANC2	ENSG00000116205	1	54053584	Not differentially expressed
FBXW8|ENSG00000174989	ad	control	687.0	-0.775	0.4383	----+------+-+	0.6300876288659795	FBXW8	ENSG00000174989	12	116910950	Not differentially expressed
BAD|ENSG00000002330	ad	control	687.0	-1.745	0.08094	-----+-++-----	0.23022905692438403	BAD	ENSG00000002330	11	64269830	Not differentially expressed
SGTB|ENSG00000197860	ad	control	687.0	2.619	0.008823	+++++----+++++	0.06327351428571429	SGTB	ENSG00000197860	5	65665928	Not differentially expressed
PLK2|ENSG00000145632	ad	control	687.0	2.671	0.00757	+++++----+--++	0.05770903568716781	PLK2	ENSG00000145632	5	58453982	Not differentially expressed
LACTB|ENSG00000103642	ad	control	687.0	-0.388	0.6979	++-+-+---++++-	0.8258003535651148	LACTB	ENSG00000103642	15	63121833	Not differentially expressed
CCNJ|ENSG00000107443	ad	control	687.0	1.294	0.1958	++-++++-+-+++-	0.39214681827249154	CCNJ	ENSG00000107443	10	96043394	Not differentially expressed
METAP1|ENSG00000164024	ad	control	687.0	3.07	0.002142	++++++++++---+	0.03085463414634146	METAP1	ENSG00000164024	4	98995659	Not differentially expressed
CEP76|ENSG00000101624	ad	control	687.0	-1.673	0.09423	---------++---	0.2527282626100881	CEP76	ENSG00000101624	18	12661833	Not differentially expressed
DMPK|ENSG00000104936	ad	control	687.0	-2.484	0.01298	-----++++-----	0.0782697897897898	DMPK	ENSG00000104936	19	45769709	Not differentially expressed
PTRHD1|ENSG00000184924	ad	control	687.0	-0.153	0.8785	------+++--+-+	0.9359231748726654	PTRHD1	ENSG00000184924	2	24789728	Not differentially expressed
D2HGDH|ENSG00000180902	ad	control	687.0	-0.291	0.7708	+---+-+----+-+	0.8725709775622956	D2HGDH	ENSG00000180902	2	241734602	Not differentially expressed
SIRT4|ENSG00000089163	ad	control	687.0	-1.267	0.2051	+++--++-----+-	0.40171751853296916	SIRT4	ENSG00000089163	12	120302316	Not differentially expressed
MORN1|ENSG00000116151	ad	control	687.0	0.06	0.9523	+++++----+---+	0.9768177360032693	MORN1	ENSG00000116151	1	2321253	Not differentially expressed
UGGT1|ENSG00000136731	ad	control	687.0	-1.01	0.3124	-----++-++-++-	0.5171369253583786	UGGT1	ENSG00000136731	2	128091200	Not differentially expressed
C1GALT1|ENSG00000106392	ad	control	687.0	0.38	0.7041	--+-+++++-+++-	0.8301038046031	C1GALT1	ENSG00000106392	7	7156934	Not differentially expressed
ISG20L2|ENSG00000143319	ad	control	687.0	-2.133	0.03294	--------------	0.13373133845531743	ISG20L2	ENSG00000143319	1	156721891	Not differentially expressed
SNRPE|ENSG00000182004	ad	control	687.0	2.049	0.04046	++++-+-+++++++	0.1499514211886305	SNRPE	ENSG00000182004	1	203861599	Not differentially expressed
NDUFAF5|ENSG00000101247	ad	control	687.0	2.021	0.04329	+++++----+++++	0.156624	NDUFAF5	ENSG00000101247	20	13785007	Not differentially expressed
PINLYP|ENSG00000234465	ad	control	687.0	-1.198	0.231	-----++++-+-+-	0.43052533877854093	PINLYP	ENSG00000234465	19	43575801	Not differentially expressed
ADAMTS2|ENSG00000087116	ad	control	687.0	-4.173	3.013e-05	-----++++-----	0.003184265263157895	ADAMTS2	ENSG00000087116	5	179110853	Downregulated in AD
THOC6|ENSG00000131652	ad	control	687.0	-0.463	0.6432	++--+-+-+-----	0.7878160302549714	THOC6	ENSG00000131652	16	3024027	Not differentially expressed
GNL2|ENSG00000134697	ad	control	687.0	1.887	0.05912	++++--+-+--+++	0.189940736	GNL2	ENSG00000134697	1	37566816	Not differentially expressed
BORCS5|ENSG00000280689	ad	control	687.0	2.792	0.005244	+++++-+++-++-+	0.04814427787934186	BORCS5	ENSG00000280689	HG1362_PATCH	326076	Not differentially expressed
KANSL3|ENSG00000114982	ad	control	687.0	0.341	0.7333	+----++++-+-+-	0.8488795111264844	KANSL3	ENSG00000114982	2	96593170	Not differentially expressed
IFT70B|ENSG00000196659	ad	control	687.0	0.617	0.5372	+++++-+----+++	0.7099497169935501	IFT70B	ENSG00000196659	2	177548998	Not differentially expressed
NRAS|ENSG00000213281	ad	control	687.0	1.405	0.16	++++-----++-++	0.3457597933706414	NRAS	ENSG00000213281	1	114704469	Not differentially expressed
ZNF224|ENSG00000267680	ad	control	687.0	0.527	0.5981	--+-+++++-+-+-	0.7569549981091642	ZNF224	ENSG00000267680	19	44094361	Not differentially expressed
GXYLT1|ENSG00000151233	ad	control	687.0	-2.95	0.003182	----------+++-	0.036848073817762395	GXYLT1	ENSG00000151233	12	42081845	Not differentially expressed
MRC1|ENSG00000260314	ad	control	687.0	-2.918	0.003528	---------+--+-	0.038753960612691464	MRC1	ENSG00000260314	10	17809348	Not differentially expressed
P4HB|ENSG00000185624	ad	control	687.0	-2.45	0.0143	-----------+--	0.08303759398496241	P4HB	ENSG00000185624	17	81843159	Not differentially expressed
AKR1C2|ENSG00000151632	ad	control	687.0	-5.856	4.74e-09	-------++-----	4.07373e-05	AKR1C2	ENSG00000151632	10	4987775	Downregulated in AD
TESPA1|ENSG00000135426	ad	control	687.0	1.294	0.1956	+++++-------++	0.3921373801916933	TESPA1	ENSG00000135426	12	54948015	Not differentially expressed
KCNC3|ENSG00000131398	ad	control	687.0	0.302	0.7629	+++++----+---+	0.8673441286377533	KCNC3	ENSG00000131398	19	50311937	Not differentially expressed
SLC35F6|ENSG00000213699	ad	control	687.0	-1.944	0.05185	+---------++-+	0.1747990607178799	SLC35F6	ENSG00000213699	2	26764284	Not differentially expressed
GRK3|ENSG00000100077	ad	control	687.0	1.532	0.1256	++++++---+--++	0.2993173510562544	GRK3	ENSG00000100077	22	25564675	Not differentially expressed
RSPH3|ENSG00000130363	ad	control	687.0	1.489	0.1366	+++++--+-++-+-	0.31419564719358534	RSPH3	ENSG00000130363	6	158972871	Not differentially expressed
PROSER3|ENSG00000167595	ad	control	687.0	-1.288	0.1979	----++--------	0.39467036890122964	PROSER3	ENSG00000167595	19	35758143	Not differentially expressed
SLC6A9|ENSG00000196517	ad	control	687.0	-1.843	0.0654	-----++++--+--	0.20234604250076993	SLC6A9	ENSG00000196517	1	43991500	Not differentially expressed
